"","city","A16S","AAC3","ABEM","ABES","ACN","ACRA","ADEF","ADEL","AMPCR","APH3-DPRIME","ARSC","ARSCM","ARSDM","ARSRM","ASR","BASRS","BCRCM","BLAA","BLAI","CADC","CADR","CADX","CAP16S","CDSA","COPA","COPC","COPD","COPK","COPR","COPZ","CORA","CORD","CPXAR","CRP","CTX","CUER","CUTA","CZRA","DFRA","DFRG","DNAK","EBRA","EEFX","EMRASM","EMRBSM","EMRE","EMRRSM","ERMB","FABG","FABI","FABK","FOLP","FOSA","FOSY","FUSE","GYRA","GYRB","HDEA","HNS","KPNE","KPNF","LNUC","LPSB","LPXA","LPXC","LSAC","MARA","MERC","MERD","MERE","MERF","MERP","MERR","MERR1","MERT","MEXB","MEXE","MEXF","MEXK","MEXT","MGRA","MLS23S","MPHB","MTRAD","MUXB","NCRBN","O23S","OLEC","OMPA","OPMH","OSCA","OXA","OXYRKP","PARC","PARE","PARR","PARY","PCM","PCOE","PDRM","PHOP","PMRAR","PSTA","PSTB","PSTC","PTSL","QACC","QACG","QACH","QACJ","QACL","RBPA","RECG","RECGM","RLMA","ROX","RPOB","RPOCL","RPOCR","RPOS","RPSA","RPSJ","RPSL","RRS","RRSA","RRSC","RRSH","RSMA","RUVB","SILB","SILF","SME","SMET","SMRA","SODA","SODB","SOXR","SSME","TCRY","TCRZ","TERB","TET16S","TETA","TETR","TOLC","TOLCSM","TUFAB","UHPT","VANRO","VANRS","YAJC","YCHH"
"gCSD16_DEN_1","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30437758655663e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_15","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82736826749747e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_17","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93398493429088e-07,0,0,0,0,0
"gCSD16_DEN_7","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5402973906675e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_1","NYC",8.70975881898412e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50493602691538e-06,0,0,0,0,6.64383219884773e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4275600743172e-07,0,1.64335072056304e-07,0,1.94854442581046e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22575899573354e-07,0,0,0,0,0
"gCSD16_NYC_10","NYC",2.4541253647821e-06,0,0,0,1.09045841474829e-06,0,0,0,0,0,0,0,0,0,0,2.63705629710371e-07,0,0,0,1.9005811150297e-08,0,0,2.07876059456373e-07,0,0,0,0,0,0,0,0,0,5.66610744918229e-07,3.44480327099133e-08,0,0,0,8.42195006597535e-07,1.66300847565099e-08,0,0,0,0,2.9696579922339e-07,0,1.02156234932846e-07,0,8.31504237825493e-08,0,0,0,0,0,0,0,2.35078126665236e-06,2.1025178585016e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.85087167254455e-08,0,0,0,0,0,0,3.26662379145729e-07,1.10590063630791e-06,7.66171761996347e-07,0,1.54422215596163e-08,3.47331198771677e-06,0,0,9.33660472758339e-07,0,7.3053586608954e-07,8.18437742659664e-07,0,0,0,0,8.55261501763364e-08,0,3.65861864643217e-07,0,0,1.37792130839653e-07,0,0,1.84118795518502e-07,0,5.58295702539974e-08,1.98373153881225e-07,1.05719824523527e-07,0,0,0,0,0,0,0,0,5.76113650493377e-07,0,0,1.42543583627227e-06,0,1.1439122586085e-06,0,3.89619128581088e-07,1.66300847565099e-08,1.17598456492463e-07,5.83240829674738e-07,3.12408020783007e-07,2.28069733803564e-07,2.23318281015989e-07,0,2.69644945694838e-07,0,0,2.42324092166286e-07,1.30664951658292e-07,0,2.13815375440841e-08,1.3660426764276e-07,0,0,0,0,0,4.01497760550024e-07,4.0030989735313e-07,0,0,0,1.45275668980083e-06,0,0,2.74396398482413e-07,4.63266646788489e-08,0
"gCSD16_NYC_11","NYC",1.01657687505351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15567100903527e-06,0,0,0,0,0,0,0,0,0,5.74782933788567e-07,1.46513296848066e-07,2.96783344897365e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25405072073948e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12702536036974e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8578549783137e-05,0,0,0,0,1.75440281097556e-06,0,0,0,0,0,2.02864564866553e-07,0,0,0,0,0,2.02864564866553e-07,0,0,0,0,0,1.61540301652996e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00540096098597e-07,2.30664523755673e-06,2.84010390813174e-06,0,2.62972584086273e-07,0,0,0,0,0,0,0,0,0,0,4.88377656160221e-08,0,7.06269225831704e-07,0,0,3.75675120123247e-08,0,2.96031994657118e-06,0,0,0,0,0
"gCSD16_NYC_12","NYC",3.73043963081232e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99755803524087e-08,9.98779017620434e-09,5.49328459691239e-08,0,0,0,0,0,0,0,0,0,3.23354706954616e-06,0,0,0,0,1.15608671289565e-06,0,0,0,0,0,7.49084263215326e-08,0,0,0,0,0,0,1.54810747731167e-07,0,0,0,0,0,0,0,0,0,6.99145312334304e-08,0,0,0,0,0,0,0,6.29230781100874e-07,0,0,0,0,1.22350429658503e-07,1.09615997183843e-06,4.79413928457809e-07,3.09621495462335e-07,3.27100128270692e-07,0,2.22228331420547e-07,1.34835167378759e-07,0,0,0,0,1.07368744394197e-07,0,0,0,0,0,0,7.34102577951019e-07,0,0,0,0,1.29591577536251e-06,0,0,0,0,0
"gCSD16_NYC_13","NYC",3.14940445627818e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32774253853725e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77928534753382e-07,0,0,0,0,0,4.98655705577379e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31225185678257e-08,0,0,0,0,0,0,0,0,0,0,1.16685435105107e-05,0,0,0,0,7.13865010089721e-07,0,0,0,0,0,0,0,4.85533187009553e-07,0,0,0,0,0,0,0,0,3.464344901906e-07,0,0,0,0,0,0,0,0,0,8.87082255185021e-07,0,0,8.89706758898586e-07,0,0,0,5.80015320697898e-07,0,0,7.9522462521024e-07,3.04442430773557e-07,3.85802045894077e-07,6.22007380114941e-07,0,2.36205334220864e-07,0,0,0,0,0,0,1.6796823766817e-07,0,0,0,0,0,5.01280209290944e-07,0,0,0,0,2.43029043876133e-06,0,0,3.83177542180512e-07,7.61106076933894e-08,0
"gCSD16_NYC_14","NYC",1.88898599400361e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4428795358138e-07,0,0,0,0,0,0,0,0,0,0,2.92623003220477e-07,2.01178314714078e-07,0,0,0,0,0,0,0,0,0,0,9.6931369816783e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94262437312723e-07,0,0,0,2.20120428761832e-06,0,0,0,0,4.31096388673024e-07,9.45799349694755e-07,0,0,0,0,0,0,3.78842280955082e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0686484486404e-07,0,1.19531271404793e-06,2.61270538589711e-08,4.55917089839046e-07,0,1.90727493170489e-07,4.11501098278796e-07,2.4428795358138e-07,0,1.84195729705747e-07,0,0,0,0,2.83478534369837e-07,0,0,0,1.16265389672422e-07,0,0,0,0,0,2.40368895502535e-07,0,0,0,0,1.10778708362038e-06,0,0,3.60553343253802e-07,0,0
