"","city","A16S","AAC3","ABEM","ABES","ACN","ACRA","ADEF","ADEL","AMPCR","APH3-DPRIME","ARSC","ARSCM","ARSDM","ARSRM","ASR","BASRS","BCRCM","BLAA","BLAI","CADC","CADR","CADX","CAP16S","CDSA","COPA","COPC","COPD","COPK","COPR","COPZ","CORA","CORD","CPXAR","CRP","CTX","CUER","CUTA","CZRA","DFRA","DFRG","DNAK","EBRA","EEFX","EMRASM","EMRBSM","EMRE","EMRRSM","ERMB","FABG","FABI","FABK","FOLP","FOSA","FOSY","FUSE","GYRA","GYRB","HDEA","HNS","KPNE","KPNF","LNUC","LPSB","LPXA","LPXC","LSAC","MARA","MERC","MERD","MERE","MERF","MERP","MERR","MERR1","MERT","MEXB","MEXE","MEXF","MEXK","MEXT","MGRA","MLS23S","MPHB","MTRAD","MUXB","NCRBN","O23S","OLEC","OMPA","OPMH","OSCA","OXA","OXYRKP","PARC","PARE","PARR","PARY","PCM","PCOE","PDRM","PHOP","PMRAR","PSTA","PSTB","PSTC","PTSL","QACC","QACG","QACH","QACJ","QACL","RBPA","RECG","RECGM","RLMA","ROX","RPOB","RPOCL","RPOCR","RPOS","RPSA","RPSJ","RPSL","RRS","RRSA","RRSC","RRSH","RSMA","RUVB","SILB","SILF","SME","SMET","SMRA","SODA","SODB","SOXR","SSME","TCRY","TCRZ","TERB","TET16S","TETA","TETR","TOLC","TOLCSM","TUFAB","UHPT","VANRO","VANRS","YAJC","YCHH"
"gCSD16_DEN_1","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_15","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108247422680412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_17","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506993006993007,0,0,0,0,0
"gCSD16_DEN_7","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391566265060241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_1","NYC",0.405464480874317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16612021857923,0,0,0,0,0.309289617486339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159562841530055,0,0.0765027322404372,0,0.0907103825136612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19672131147541,0,0,0,0,0
"gCSD16_NYC_10","NYC",1.03403403403403,0,0,0,0.459459459459459,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.00800800800800801,0,0,0.0875875875875876,0,0,0,0,0,0,0,0,0,0.238738738738739,0.0145145145145145,0,0,0,0.354854854854855,0.00700700700700701,0,0,0,0,0.125125125125125,0,0.043043043043043,0,0.035035035035035,0,0,0,0,0,0,0,0.990490490490491,0.0885885885885886,0,0,0,0,0,0,0,0,0,0,0,0,0.012012012012012,0,0,0,0,0,0,0.137637637637638,0.465965965965966,0.322822822822823,0,0.00650650650650651,1.46346346346346,0,0,0.393393393393393,0,0.307807807807808,0.344844844844845,0,0,0,0,0.036036036036036,0,0.154154154154154,0,0,0.0580580580580581,0,0,0.0775775775775776,0,0.0235235235235235,0.0835835835835836,0.0445445445445445,0,0,0,0,0,0,0,0,0.242742742742743,0,0,0.600600600600601,0,0.481981981981982,0,0.164164164164164,0.00700700700700701,0.0495495495495495,0.245745745745746,0.131631631631632,0.0960960960960961,0.0940940940940941,0,0.113613613613614,0,0,0.102102102102102,0.0550550550550551,0,0.00900900900900901,0.0575575575575576,0,0,0,0,0,0.169169169169169,0.168668668668669,0,0,0,0.612112112112112,0,0,0.115615615615616,0.0195195195195195,0
"gCSD16_NYC_11","NYC",5.34782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6600790513834,0,0,0,0,0,0,0,0,0,0.302371541501976,0.0770750988142292,0.156126482213439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118577075098814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592885375494071,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5553359683794,0,0,0,0,0.922924901185771,0,0,0,0,0,0.106719367588933,0,0,0,0,0,0.106719367588933,0,0,0,0,0,0.0849802371541502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158102766798419,1.21343873517787,1.49407114624506,0,0.138339920948617,0,0,0,0,0,0,0,0,0,0,0.0256916996047431,0,0.371541501976285,0,0,0.0197628458498024,0,1.55731225296443,0,0,0,0,0
"gCSD16_NYC_12","NYC",1.83763837638376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00984009840098401,0.00492004920049201,0.027060270602706,0,0,0,0,0,0,0,0,0,1.59286592865929,0,0,0,0,0.56949569495695,0,0,0,0,0,0.03690036900369,0,0,0,0,0,0,0.0762607626076261,0,0,0,0,0,0,0,0,0,0.034440344403444,0,0,0,0,0,0,0,0.309963099630996,0,0,0,0,0.0602706027060271,0.539975399753998,0.236162361623616,0.152521525215252,0.161131611316113,0,0.109471094710947,0.0664206642066421,0,0,0,0,0.0528905289052891,0,0,0,0,0,0,0.361623616236162,0,0,0,0,0.638376383763838,0,0,0,0,0
"gCSD16_NYC_13","NYC",1.79640718562874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303892215568862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215568862275449,0,0,0,0,0,0.0284431137724551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00748502994011976,0,0,0,0,0,0,0,0,0,0,6.65568862275449,0,0,0,0,0.407185628742515,0,0,0,0,0,0,0,0.276946107784431,0,0,0,0,0,0,0,0,0.197604790419162,0,0,0,0,0,0,0,0,0,0.505988023952096,0,0,0.50748502994012,0,0,0,0.330838323353293,0,0,0.453592814371257,0.173652694610778,0.220059880239521,0.354790419161677,0,0.134730538922156,0,0,0,0,0,0,0.0958083832335329,0,0,0,0,0,0.285928143712575,0,0,0,0,1.38622754491018,0,0,0.218562874251497,0.0434131736526946,0
"gCSD16_NYC_14","NYC",0.930501930501931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12033462033462,0,0,0,0,0,0,0,0,0,0,0.144144144144144,0.0990990990990991,0,0,0,0,0,0,0,0,0,0,0.477477477477477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391248391248391,0,0,0,1.08429858429858,0,0,0,0,0.212355212355212,0.465894465894466,0,0,0,0,0,0,0.186615186615187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24967824967825,0,0.588803088803089,0.0128700128700129,0.224581724581725,0,0.093951093951094,0.202702702702703,0.12033462033462,0,0.0907335907335907,0,0,0,0,0.13963963963964,0,0,0,0.0572715572715573,0,0,0,0,0,0.118404118404118,0,0,0,0,0.545688545688546,0,0,0.177606177606178,0,0
