"","city","A16S","AAC3","ABEM","ABES","ACN","ACRA","ADEF","ADEL","AMPCR","APH3-DPRIME","ARSC","ARSCM","ARSDM","ARSRM","ASR","BASRS","BCRCM","BLAA","BLAI","CADC","CADR","CADX","CAP16S","CDSA","COPA","COPC","COPD","COPK","COPR","COPZ","CORA","CORD","CPXAR","CRP","CTX","CUER","CUTA","CZRA","DFRA","DFRG","DNAK","EBRA","EEFX","EMRASM","EMRBSM","EMRE","EMRRSM","ERMB","FABG","FABI","FABK","FOLP","FOSA","FOSY","FUSE","GYRA","GYRB","HDEA","HNS","KPNE","KPNF","LNUC","LPSB","LPXA","LPXC","LSAC","MARA","MERC","MERD","MERE","MERF","MERP","MERR","MERR1","MERT","MEXB","MEXE","MEXF","MEXK","MEXT","MGRA","MLS23S","MPHB","MTRAD","MUXB","NCRBN","O23S","OLEC","OMPA","OPMH","OSCA","OXA","OXYRKP","PARC","PARE","PARR","PARY","PCM","PCOE","PDRM","PHOP","PMRAR","PSTA","PSTB","PSTC","PTSL","QACC","QACG","QACH","QACJ","QACL","RBPA","RECG","RECGM","RLMA","ROX","RPOB","RPOCL","RPOCR","RPOS","RPSA","RPSJ","RPSL","RRS","RRSA","RRSC","RRSH","RSMA","RUVB","SILB","SILF","SME","SMET","SMRA","SODA","SODB","SOXR","SSME","TCRY","TCRZ","TERB","TET16S","TETA","TETR","TOLC","TOLCSM","TUFAB","UHPT","VANRO","VANRS","YAJC","YCHH"
"gCSD16_DEN_1","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173210161662818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_15","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201342281879195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_17","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118030118030118,0,0,0,0,0
"gCSD16_DEN_7","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00634765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_1","NYC",0.0595792516460575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171350570097961,0,0,0,0,0.0454472458647824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234462823189337,0,0.0112413682351052,0,0.013329050907339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289063754616991,0,0,0,0,0
"gCSD16_NYC_10","NYC",0.117493175614195,0,0,0,0.0522065514103731,0,0,0,0,0,0,0,0,0,0,0.0126251137397634,0,0,0,0.000909918107370337,0,0,0.00995222929936306,0,0,0,0,0,0,0,0,0,0.0271269335759782,0.00164922656960874,0,0,0,0.040320746132848,0.000796178343949045,0,0,0,0,0.0142174704276615,0,0.00489080982711556,0,0.00398089171974522,0,0,0,0,0,0,0,0.112545495905369,0.0100659690627843,0,0,0,0,0,0,0,0,0,0,0,0,0.00136487716105551,0,0,0,0,0,0,0.0156392174704277,0.0529458598726115,0.0366810737033667,0,0.000739308462238399,0.166287534121929,0,0,0.0446997270245678,0,0.0349749772520473,0.0391833484986351,0,0,0,0,0.00409463148316652,0,0.017515923566879,0,0,0.00659690627843494,0,0,0.00881483166515014,0,0.00267288444040036,0.00949727024567789,0.0050614194722475,0,0,0,0,0,0,0,0,0.0275818926296633,0,0,0.0682438580527752,0,0.0547656960873521,0,0.0186533212010919,0.000796178343949045,0.00563011828935396,0.0279231119199272,0.0149567788898999,0.010919017288444,0.0106915377616015,0,0.0129094631483167,0,0,0.0116014558689718,0.00625568698817106,0,0.00102365787079163,0.00654003639672429,0,0,0,0,0,0.0192220200181984,0.0191651501364877,0,0,0,0.0695518653321201,0,0,0.0131369426751592,0.0022179253867152,0
"gCSD16_NYC_11","NYC",1.19734513274336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371681415929204,0,0,0,0,0,0,0,0,0,0.0676991150442478,0.0172566371681416,0.0349557522123894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265486725663717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132743362831858,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7216814159292,0,0,0,0,0.206637168141593,0,0,0,0,0,0.0238938053097345,0,0,0,0,0,0.0238938053097345,0,0,0,0,0,0.0190265486725664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353982300884956,0.271681415929204,0.334513274336283,0,0.0309734513274336,0,0,0,0,0,0,0,0,0,0,0.00575221238938053,0,0.0831858407079646,0,0,0.00442477876106195,0,0.348672566371681,0,0,0,0,0
"gCSD16_NYC_12","NYC",0.312748586979276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167469122880469,0.000837345614402345,0.0046054008792129,0,0,0,0,0,0,0,0,0,0.271090642662759,0,0,0,0,0.0969227548670714,0,0,0,0,0,0.00628009210801758,0,0,0,0,0,0,0.0129788570232363,0,0,0,0,0,0,0,0,0,0.00586141930081641,0,0,0,0,0,0,0,0.0527527737073477,0,0,0,0,0.0102574837764287,0.0918986811806573,0.0401925894913125,0.0259577140464727,0.0274230688716768,0,0.0186309399204522,0.0113041657944317,0,0,0,0,0.0090014653548252,0,0,0,0,0,0,0.0615449026585723,0,0,0,0,0.108645593468704,0,0,0,0,0
"gCSD16_NYC_13","NYC",0.330123796423659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558459422283356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396148555708391,0,0,0,0,0,0.00522696011004127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137551581843191,0,0,0,0,0,0,0,0,0,0,1.22310866574966,0,0,0,0,0.074828060522696,0,0,0,0,0,0,0,0.0508940852819807,0,0,0,0,0,0,0,0,0.0363136176066025,0,0,0,0,0,0,0,0,0,0.0929848693259973,0,0,0.0932599724896836,0,0,0,0.0607977991746905,0,0,0.0833562585969739,0.0319119669876204,0.0404401650618982,0.0651994497936726,0,0.0247592847317744,0,0,0,0,0,0,0.0176066024759285,0,0,0,0,0,0.052544704264099,0,0,0,0,0.25474552957359,0,0,0.0401650618982118,0.00797799174690509,0
"gCSD16_NYC_14","NYC",0.152596032081047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197340650063318,0,0,0,0,0,0,0,0,0,0,0.0236386661038413,0.0162515829463909,0,0,0,0,0,0,0,0,0,0,0.0783030814689742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641620937104263,0,0,0,0.17781764457577,0,0,0,0,0.034824820599409,0.0764035457999156,0,0,0,0,0,0,0.0306036302237231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409455466441537,0,0.096559729843816,0.00211059518784297,0.0368298860278599,0,0.0154073448712537,0.0332418742085268,0.0197340650063318,0,0.0148796960742929,0,0,0,0,0.0228999577880962,0,0,0,0.00939214858590122,0,0,0,0,0,0.0194174757281553,0,0,0,0,0.089489235964542,0,0,0.029126213592233,0,0
"gCSD16_NYC_15","NYC",0.347658755612572,0,0,0.0429762668377165,0,0,0.0872354073123797,0.369467607440667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127004490057729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064143681847338,0,0,0,0,0,0.345093008338679,0,0,0,0,0,0,0,0,0,0,0,0.214881334188582,0,0,0.276459268762027,0,2.7132777421424,0,0,0,0,0.171263630532393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262989095574086,0,0.0416933932007697,0.0801796023091726,0.107761385503528,0.00449005772931366,0,0,0,0,0,0,0,0,0,0,0.00833867864015394,0,0,0,0,0,0,0,0.0981398332264272,0,0,0,0,0
