"","city","A16S","AAC3","ABEM","ABES","ACN","ACRA","ADEF","ADEL","AMPCR","APH3-DPRIME","ARSC","ARSCM","ARSDM","ARSRM","ASR","BASRS","BCRCM","BLAA","BLAI","CADC","CADR","CADX","CAP16S","CDSA","COPA","COPC","COPD","COPK","COPR","COPZ","CORA","CORD","CPXAR","CRP","CTX","CUER","CUTA","CZRA","DFRA","DFRG","DNAK","EBRA","EEFX","EMRASM","EMRBSM","EMRE","EMRRSM","ERMB","FABG","FABI","FABK","FOLP","FOSA","FOSY","FUSE","GYRA","GYRB","HDEA","HNS","KPNE","KPNF","LNUC","LPSB","LPXA","LPXC","LSAC","MARA","MERC","MERD","MERE","MERF","MERP","MERR","MERR1","MERT","MEXB","MEXE","MEXF","MEXK","MEXT","MGRA","MLS23S","MPHB","MTRAD","MUXB","NCRBN","O23S","OLEC","OMPA","OPMH","OSCA","OXA","OXYRKP","PARC","PARE","PARR","PARY","PCM","PCOE","PDRM","PHOP","PMRAR","PSTA","PSTB","PSTC","PTSL","QACC","QACG","QACH","QACJ","QACL","RBPA","RECG","RECGM","RLMA","ROX","RPOB","RPOCL","RPOCR","RPOS","RPSA","RPSJ","RPSL","RRS","RRSA","RRSC","RRSH","RSMA","RUVB","SILB","SILF","SME","SMET","SMRA","SODA","SODB","SOXR","SSME","TCRY","TCRZ","TERB","TET16S","TETA","TETR","TOLC","TOLCSM","TUFAB","UHPT","VANRO","VANRS","YAJC","YCHH"
"gCSD16_DEN_1","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7479165378779e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_15","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74195546311087e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_17","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20634628369959e-06,0,0,0,0,0
"gCSD16_DEN_7","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81545523517145e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_1","NYC",2.15395944773641e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19481059497237e-05,0,0,0,0,1.64304723371807e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47649809621336e-06,0,4.06407442969134e-06,0,4.81883110949116e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04504771049206e-05,0,0,0,0,0
"gCSD16_NYC_10","NYC",5.24667525604461e-05,0,0,0,2.3312913286781e-05,0,0,0,0,0,0,0,0,0,0,5.63776334386207e-06,0,0,0,4.06325286044113e-07,0,0,4.44418281610749e-06,0,0,0,0,0,0,0,0,0,1.21135725901901e-05,7.36464580954955e-07,0,0,0,1.80052892378298e-05,3.55534625288599e-07,0,0,0,0,6.34883259443927e-06,0,2.18399841248711e-06,0,1.77767312644299e-06,0,0,0,0,0,0,0,5.02573588175812e-05,4.494973476863e-06,0,0,0,0,0,0,0,0,0,0,0,0,6.09487929066169e-07,0,0,0,0,0,0,6.98371585388319e-06,2.36430525816918e-05,1.63799880936533e-05,0,3.30139294910842e-07,7.42559460245617e-05,0,0,1.99607296769171e-05,0,1.56181281823206e-05,1.74973826302746e-05,0,0,0,0,1.82846378719851e-06,0,7.82176175634917e-06,0,0,2.94585832381982e-06,0,0,3.93627620855235e-06,0,1.19358052775458e-06,4.24102017308543e-06,2.26018440362038e-06,0,0,0,0,0,0,0,0,1.23167352332122e-05,0,0,3.04743964533085e-05,0,2.44557031537801e-05,0,8.32966836390432e-06,3.55534625288599e-07,2.51413770739795e-06,1.24691072154787e-05,6.67897188935011e-06,4.87590343252936e-06,4.77432211101833e-06,0,5.76473999575085e-06,0,0,5.18064739706244e-06,2.79348634155328e-06,0,4.57115946799627e-07,2.92046299344206e-06,0,0,0,0,0,8.58362166768189e-06,8.55822633730413e-06,0,0,0,3.10584890519969e-05,0,0,5.86632131726188e-06,9.90417884732525e-07,0
"gCSD16_NYC_11","NYC",0.000117261179256593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64003660663481e-05,0,0,0,0,0,0,0,0,0,6.63006667637054e-06,1.69001699593759e-06,3.42336776100178e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60002614759629e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30001307379815e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000560348968576127,0,0,0,0,2.02368701821245e-05,0,0,0,0,0,2.34002353283666e-06,0,0,0,0,0,2.34002353283666e-06,0,0,0,0,0,1.86335207244401e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46670153012839e-06,2.66069342437354e-05,3.27603294597133e-05,0,3.03336383886234e-06,0,0,0,0,0,0,0,0,0,0,5.63338998645863e-07,0,8.14674859580171e-06,0,0,4.33337691266048e-07,0,3.41470100717646e-05,0,0,0,0,0
"gCSD16_NYC_12","NYC",6.1023862781105e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26767672187978e-07,1.63383836093989e-07,8.9861109851694e-07,0,0,0,0,0,0,0,0,0,5.2895516935429e-05,0,0,0,0,1.89116790278792e-05,0,0,0,0,0,1.22537877070492e-06,0,0,0,0,0,0,2.53244945945683e-06,0,0,0,0,0,0,0,0,0,1.14368685265792e-06,0,0,0,0,0,0,0,1.02931816739213e-05,0,0,0,0,2.00145199215137e-06,1.79313760113153e-05,7.84242413251148e-06,5.06489891891366e-06,5.35082063207815e-06,0,3.63529035309126e-06,2.20568178726885e-06,0,0,0,0,1.75637623801038e-06,0,0,0,0,0,0,1.20087119529082e-05,0,0,0,0,2.11990527331951e-05,0,0,0,0,0
"gCSD16_NYC_13","NYC",5.96295899317823e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00873389634598e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15555079181387e-06,0,0,0,0,0,9.44135173919886e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48456624715759e-07,0,0,0,0,0,0,0,0,0,0,0.000220927630697253,0,0,0,0,1.35160403845373e-05,0,0,0,0,0,0,0,9.1928951144831e-06,0,0,0,0,0,0,0,0,6.55925489249605e-06,0,0,0,0,0,0,0,0,0,1.67956678307853e-05,0,0,1.68453591557285e-05,0,0,0,1.09817828124366e-05,0,0,1.5056471457775e-05,5.76419369340562e-06,7.30462476664333e-06,1.1776844011527e-05,0,4.47221924488367e-06,0,0,0,0,0,0,3.18024479636172e-06,0,0,0,0,0,9.49104306414201e-06,0,0,0,0,4.60141668973586e-05,0,0,7.25493344170017e-06,1.4410484233514e-06,0
"gCSD16_NYC_14","NYC",5.84107595689124e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55381192212076e-06,0,0,0,0,0,0,0,0,0,0,9.04841642008049e-06,6.22078628880534e-06,0,0,0,0,0,0,0,0,0,0,2.99728793915166e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45599874259328e-05,0,0,0,6.8065096731409e-05,0,0,0,0,1.33302563331543e-05,2.92457745006173e-05,0,0,0,0,0,0,1.17144676867113e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56731498704966e-05,0,3.69611652873824e-05,8.07894323221472e-07,1.40977559402147e-05,0,5.89762855951675e-06,1.27243355907382e-05,7.55381192212076e-06,0,5.69565497871138e-06,0,0,0,0,8.76565340695297e-06,0,0,0,3.59512973833555e-06,0,0,0,0,0,7.43262777363754e-06,0,0,0,0,3.42547193045904e-05,0,0,1.11489416604563e-05,0,0
"gCSD16_NYC_15","NYC",3.40134581589594e-05,0,0,4.20461567647654e-06,0,0,8.53474226866879e-06,3.61471437261266e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2425580655856e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27554578578588e-07,0,0,0,0,0,3.3762436327528e-05,0,0,0,0,0,0,0,0,0,0,0,2.10230783823827e-05,0,0,2.70476023367371e-05,0,0.000265455586738743,0,0,0,0,1.67557072480483e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57297377217221e-06,0,4.07910476076082e-06,7.84443223223235e-06,1.05429169201203e-05,4.39288205005011e-07,0,0,0,0,0,0,0,0,0,0,8.15820952152164e-07,0,0,0,0,0,0,0,9.60158505225239e-06,0,0,0,0,0
"gCSD16_NYC_16","NYC",8.72451899546482e-05,0,0,0,3.22377144387256e-05,0,0,0,0,0,5.66743687133748e-07,0,0,0,0,0,0,0,0,0,0,0,1.05014271439489e-05,0,0,0,0,0,0,0,0,0,0,7.66770870828012e-07,0,0,0,2.46033435943945e-05,0,0,8.53449317095527e-06,0,0,0,0,0,0,0,0,0,0,0,8.00108734777056e-07,0,0,5.08735803862412e-05,0,0,1.40019028585985e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11695436076429e-05,2.25363960295538e-05,0,0,0.000108181368514648,0,3.3337863949044e-06,3.2571093078216e-05,0,2.08028271042035e-05,2.81371571729931e-05,0,1.05347650078979e-05,0,0,3.06708348331205e-06,5.10069318420373e-06,2.67369668871333e-05,0,2.05361241926111e-05,0,0,0,5.63409900738844e-06,0,0,9.23458831388519e-06,0,0,0,9.33460190573232e-07,0,1.00013591847132e-06,0,0,1.90025824509551e-06,1.91025960428022e-05,0,0,4.23724250792349e-05,0,3.82718678135025e-05,0,1.26350504366877e-05,4.66730095286616e-07,3.56715144254771e-06,0,8.53449317095527e-06,9.33460190573232e-06,1.11015086950317e-05,0,5.43407182369417e-06,0,0,0,2.8003805717197e-06,0,2.13362329273882e-06,3.3337863949044e-06,0,0,0,3.00040775541396e-07,3.3337863949044e-07,3.02374426017829e-05,0,0,0,0,4.37392775011457e-05,0,3.73384076229293e-06,7.36766793273873e-06,0,0
"gCSD16_NYC_17","NYC",9.16018197121212e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12542014147823e-05,0,0,0,0,0,0,0,0,0,8.21003217963624e-06,1.29146573612255e-06,0,0,0,0,0,1.15309440725228e-06,0,0,0,9.45537413946871e-06,9.17863148172816e-06,0,0,0,0,1.66045594644328e-06,0,0,0,0,2.07556993305411e-06,5.78853392440645e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109082730926066,0,0,3.40393469020873e-05,0,2.79971322080854e-05,3.39932231257972e-05,0,0,0,0,0,0,1.24072958220345e-05,0,0,0,0,0,0,0,0,8.76351749511734e-06,0,0,0,0,0,0,0,0,0,1.77576538716851e-05,0,0,2.23239077244042e-05,0,0,0,1.66506832407229e-05,0,5.48872937852086e-06,2.06173280016708e-05,1.10235825333318e-05,8.85576504769752e-06,1.18538105065535e-05,0,8.39452728479661e-06,0,0,9.22475525801825e-06,0,0,0,0,0,0,0,0,0,1.43444944262184e-05,0,0,0,0,5.72396063760032e-05,0,0,1.08390874281714e-05,0,0
