"","result.all"
"DEN versus all",0.960746951219512
"NYC versus all",0.947443860487339
"SAC versus all",0.984504132231405
"BAL versus all",0.899535423925668
"MIN versus all",0.973282442748092
"SAN versus all",0.875145180023229
"+ DEN NYC +",0.994697773064687
"+ DEN SAC +",0.99390243902439
"+ DEN BAL +",0.947735191637631
"+ DEN MIN +",1
"+ DEN SAN +",0.893728222996516
"+ NYC SAC +",0.997282608695652
"+ NYC BAL +",0.927018633540373
"+ NYC MIN +",0.942028985507246
"+ NYC SAN +",0.982919254658385
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.928571428571429
"+ BAL MIN +",1
"+ BAL SAN +",0.928571428571429
"+ MIN SAN +",0.976190476190476
