"","result.all"
"DEN versus all",0.964176829268293
"NYC versus all",0.949235547061634
"SAC versus all",0.97004132231405
"BAL versus all",0.901858304297329
"MIN versus all",0.947837150127226
"SAN versus all",0.898954703832753
"+ DEN NYC +",0.996288441145281
"+ DEN SAC +",0.99390243902439
"+ DEN BAL +",0.935540069686411
"+ DEN MIN +",1
"+ DEN SAN +",0.871080139372822
"+ NYC SAC +",0.995923913043478
"+ NYC BAL +",0.93167701863354
"+ NYC MIN +",0.945652173913043
"+ NYC SAN +",0.975155279503106
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.959821428571429
"+ BAL MIN +",1
"+ BAL SAN +",0.918367346938776
"+ MIN SAN +",0.988095238095238
