"","result.all"
"DEN versus all",0.951727642276423
"NYC versus all",0.919493549928333
"SAC versus all",0.981921487603306
"BAL versus all",0.916957026713124
"MIN versus all",0.936386768447837
"SAN versus all",0.908246225319396
"+ DEN NYC +",0.994697773064687
"+ DEN SAC +",0.996951219512195
"+ DEN BAL +",0.945993031358885
"+ DEN MIN +",1
"+ DEN SAN +",0.881533101045296
"+ NYC SAC +",1
"+ NYC BAL +",0.936335403726708
"+ NYC MIN +",0.960144927536232
"+ NYC SAN +",0.979813664596273
"+ SAC BAL +",1
"+ SAC MIN +",0.979166666666667
"+ SAC SAN +",0.933035714285714
"+ BAL MIN +",0.988095238095238
"+ BAL SAN +",0.928571428571429
"+ MIN SAN +",0.964285714285714
