"","result.all"
"DEN versus all",0.943978658536585
"NYC versus all",0.961538461538462
"SAC versus all",0.986570247933884
"BAL versus all",0.899535423925668
"MIN versus all",0.983460559796438
"SAN versus all",0.884436701509872
"+ DEN NYC +",0.998409331919406
"+ DEN SAC +",1
"+ DEN BAL +",0.939024390243902
"+ DEN MIN +",0.995934959349593
"+ DEN SAN +",0.890243902439024
"+ NYC SAC +",1
"+ NYC BAL +",0.894409937888199
"+ NYC MIN +",0.945652173913043
"+ NYC SAN +",0.987577639751553
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.933035714285714
"+ BAL MIN +",1
"+ BAL SAN +",0.928571428571429
"+ MIN SAN +",0.976190476190476
