"","result.all"
"DEN versus all",0.963668699186992
"NYC versus all",0.942666029622551
"SAC versus all",0.985537190082645
"BAL versus all",0.914634146341463
"MIN versus all",0.944656488549618
"SAN versus all",0.854239256678281
"+ DEN NYC +",0.994167550371156
"+ DEN SAC +",0.995426829268293
"+ DEN BAL +",0.944250871080139
"+ DEN MIN +",1
"+ DEN SAN +",0.883275261324042
"+ NYC SAC +",1
"+ NYC BAL +",0.922360248447205
"+ NYC MIN +",0.949275362318841
"+ NYC SAN +",0.972049689440994
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.928571428571429
"+ BAL MIN +",0.988095238095238
"+ BAL SAN +",0.918367346938776
"+ MIN SAN +",0.952380952380952
