"","result.all"
"DEN versus all",0.952489837398374
"NYC versus all",0.961060678451983
"SAC versus all",0.983987603305785
"BAL versus all",0.915795586527294
"MIN versus all",0.979007633587786
"SAN versus all",0.871660859465738
"+ DEN NYC +",0.994167550371156
"+ DEN SAC +",0.989329268292683
"+ DEN BAL +",0.928571428571429
"+ DEN MIN +",0.995934959349593
"+ DEN SAN +",0.872822299651568
"+ NYC SAC +",1
"+ NYC BAL +",0.933229813664596
"+ NYC MIN +",0.945652173913043
"+ NYC SAN +",0.97360248447205
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.919642857142857
"+ BAL MIN +",0.988095238095238
"+ BAL SAN +",0.88265306122449
"+ MIN SAN +",0.94047619047619
