"","result.all"
"DEN versus all",0.891260162601626
"NYC versus all",0.956282847587195
"SAC versus all",0.5
"BAL versus all",0.838269454123113
"MIN versus all",0.936386768447837
"SAN versus all",0.873983739837398
"+ DEN NYC +",0.979851537645811
"+ DEN SAC +",0.967987804878049
"+ DEN BAL +",0.85191637630662
"+ DEN MIN +",1
"+ DEN SAN +",0.858885017421603
"+ NYC SAC +",0.95991847826087
"+ NYC BAL +",0.920807453416149
"+ NYC MIN +",0.927536231884058
"+ NYC SAN +",0.97360248447205
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.955357142857143
"+ BAL MIN +",0.928571428571429
"+ BAL SAN +",0.918367346938776
"+ MIN SAN +",0.892857142857143
