"","result.all"
"DEN versus all",0.961128048780488
"NYC versus all",0.938246536072623
"SAC versus all",0.870351239669421
"BAL versus all",0.889082462253194
"MIN versus all",0.94910941475827
"SAN versus all",0.867595818815331
"+ DEN NYC +",0.995227995758218
"+ DEN SAC +",0.990853658536585
"+ DEN BAL +",0.909407665505226
"+ DEN MIN +",1
"+ DEN SAN +",0.883275261324042
"+ NYC SAC +",1
"+ NYC BAL +",0.868012422360248
"+ NYC MIN +",0.963768115942029
"+ NYC SAN +",0.967391304347826
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.928571428571429
"+ BAL MIN +",1
"+ BAL SAN +",0.88265306122449
"+ MIN SAN +",0.892857142857143
