"","result.all"
"DEN versus all",0.897357723577236
"NYC versus all",0.920688007644529
"SAC versus all",0.534349173553719
"BAL versus all",0.895470383275261
"MIN versus all",0.954198473282443
"SAN versus all",0.854239256678281
"+ DEN NYC +",0.98780487804878
"+ DEN SAC +",0.990853658536585
"+ DEN BAL +",0.862369337979094
"+ DEN MIN +",1
"+ DEN SAN +",0.815331010452962
"+ NYC SAC +",1
"+ NYC BAL +",0.846273291925466
"+ NYC MIN +",0.97463768115942
"+ NYC SAN +",0.987577639751553
"+ SAC BAL +",0.964285714285714
"+ SAC MIN +",1
"+ SAC SAN +",0.924107142857143
"+ BAL MIN +",1
"+ BAL SAN +",0.918367346938776
"+ MIN SAN +",0.880952380952381
