"","result.all"
"DEN versus all",0.911585365853658
"NYC versus all",0.949832775919732
"SAC versus all",0.987086776859504
"BAL versus all",0.910569105691057
"MIN versus all",0.965648854961832
"SAN versus all",0.871951219512195
"+ DEN NYC +",0.991516436903499
"+ DEN SAC +",0.984756097560976
"+ DEN BAL +",0.916376306620209
"+ DEN MIN +",1
"+ DEN SAN +",0.850174216027875
"+ NYC SAC +",1
"+ NYC BAL +",0.922360248447205
"+ NYC MIN +",0.971014492753623
"+ NYC SAN +",0.982919254658385
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.919642857142857
"+ BAL MIN +",1
"+ BAL SAN +",0.903061224489796
"+ MIN SAN +",0.880952380952381
