"","result.all"
"DEN versus all",0.921747967479675
"NYC versus all",0.947204968944099
"SAC versus all",0.879390495867769
"BAL versus all",0.903019744483159
"MIN versus all",0.959287531806616
"SAN versus all",0.880952380952381
"+ DEN NYC +",0.995227995758218
"+ DEN SAC +",0.978658536585366
"+ DEN BAL +",0.909407665505226
"+ DEN MIN +",1
"+ DEN SAN +",0.853658536585366
"+ NYC SAC +",0.976902173913043
"+ NYC BAL +",0.894409937888199
"+ NYC MIN +",0.963768115942029
"+ NYC SAN +",0.976708074534162
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.948660714285714
"+ BAL MIN +",1
"+ BAL SAN +",0.908163265306122
"+ MIN SAN +",0.928571428571429
