"","result.all"
"DEN versus all",0.957063008130081
"NYC versus all",0.959627329192547
"SAC versus all",0.970557851239669
"BAL versus all",0.869918699186992
"MIN versus all",0.982188295165394
"SAN versus all",0.873983739837398
"+ DEN NYC +",0.994697773064687
"+ DEN SAC +",0.978658536585366
"+ DEN BAL +",0.951219512195122
"+ DEN MIN +",1
"+ DEN SAN +",0.843205574912892
"+ NYC SAC +",0.994565217391304
"+ NYC BAL +",0.93944099378882
"+ NYC MIN +",0.967391304347826
"+ NYC SAN +",0.979813664596273
"+ SAC BAL +",0.964285714285714
"+ SAC MIN +",1
"+ SAC SAN +",0.901785714285714
"+ BAL MIN +",0.976190476190476
"+ BAL SAN +",0.875
"+ MIN SAN +",0.916666666666667
