gene_accession,gCSD17_BAL_10_50p_filtered,gCSD16_SAC_3_50p_filtered,gCSD16_NYC_4_50p_filtered,gCSD16_NYC_21_50p_filtered,gCSD17_DEN_2_50p_filtered,gCSD17_BAL_14_50p_filtered,gCSD16_DEN_14_50p_filtered,gCSD16_DEN_1_50p_filtered,gCSD16_SAC_5_50p_filtered,gCSD17_NYC_18_50p_filtered,gCSD17_DEN_6_50p_filtered,gCSD17_DEN_4_50p_filtered,gCSD17_DEN_3_50p_filtered,gCSD17_NYC_15_50p_filtered,gCSD16_NYC_9_50p_filtered,gCSD16_NYC_22_50p_filtered,gCSD16_SAC_14_50p_filtered,gCSD16_SAC_8_50p_filtered,gCSD16_DEN_18_50p_filtered,gCSD16_SAC_4_50p_filtered,gCSD16_NYC_20_50p_filtered,gCSD17_SAN_14_50p_filtered,gCSD17_MIN_1_50p_filtered,gCSD16_DEN_21_50p_filtered,gCSD17_SAN_3_50p_filtered,gCSD17_DEN_23_50p_filtered,gCSD16_NYC_19_50p_filtered,gCSD17_NYC_5_50p_filtered,gCSD17_NYC_14_50p_filtered,gCSD17_BAL_1_50p_filtered,gCSD16_SAC_11_50p_filtered,gCSD16_NYC_23_50p_filtered,gCSD17_MIN_3_50p_filtered,gCSD17_SAN_13_50p_filtered,gCSD16_SAC_2_50p_filtered,gCSD17_NYC_17_50p_filtered,gCSD16_NYC_7_50p_filtered,gCSD16_DEN_11_50p_filtered,gCSD16_NYC_8_50p_filtered,gCSD16_NYC_6_50p_filtered,gCSD16_NYC_1_50p_filtered,gCSD17_NYC_19_50p_filtered,gCSD17_DEN_8_50p_filtered,gCSD16_NYC_24_50p_filtered,gCSD17_BAL_5_50p_filtered,gCSD17_NYC_10_50p_filtered,gCSD16_SAC_6_50p_filtered,gCSD17_SAN_4_50p_filtered,gCSD17_NYC_9_50p_filtered,gCSD17_MIN_2_50p_filtered,gCSD16_NYC_17_50p_filtered,gCSD16_NYC_26_50p_filtered,gCSD16_SAC_12_50p_filtered,gCSD16_SAC_15_50p_filtered,gCSD17_SAN_10_50p_filtered,gCSD16_DEN_5_50p_filtered,gCSD17_DEN_22_50p_filtered,gCSD17_DEN_5_50p_filtered,gCSD17_BAL_13_50p_filtered,gCSD17_DEN_21_50p_filtered,gCSD16_DEN_15_50p_filtered,gCSD16_SAC_1_50p_filtered,gCSD17_BAL_8_50p_filtered,gCSD17_SAN_5_50p_filtered,gCSD17_SAN_2_50p_filtered,gCSD17_DEN_9_50p_filtered,gCSD16_SAC_9_50p_filtered,gCSD16_NYC_16_50p_filtered,gCSD16_NYC_25_50p_filtered,gCSD17_BAL_9_50p_filtered,gCSD17_MIN_5_50p_filtered,gCSD17_MIN_6_50p_filtered,gCSD17_BAL_4_50p_filtered,gCSD16_DEN_10_50p_filtered,gCSD17_NYC_16_50p_filtered,gCSD17_BAL_11_50p_filtered,gCSD16_DEN_22_50p_filtered,gCSD16_DEN_8_50p_filtered,gCSD17_NYC_12_50p_filtered,gCSD16_NYC_3_50p_filtered,gCSD17_BAL_7_50p_filtered,gCSD16_DEN_19_50p_filtered,gCSD17_DEN_19_50p_filtered,gCSD17_BAL_2_50p_filtered,gCSD17_DEN_12_50p_filtered,gCSD17_DEN_16_50p_filtered,gCSD17_DEN_11_50p_filtered,gCSD17_DEN_1_50p_filtered,gCSD16_SAC_13_50p_filtered,gCSD17_DEN_10_50p_filtered,gCSD16_DEN_6_50p_filtered,gCSD17_DEN_7_50p_filtered,gCSD16_NYC_12_50p_filtered,gCSD16_NYC_14_50p_filtered,gCSD17_DEN_18_50p_filtered,gCSD17_NYC_20_50p_filtered,gCSD16_NYC_11_50p_filtered,gCSD16_NYC_10_50p_filtered,gCSD17_DEN_15_50p_filtered,gCSD16_DEN_17_50p_filtered,gCSD16_NYC_5_50p_filtered,gCSD17_SAN_9_50p_filtered,gCSD17_NYC_8_50p_filtered,gCSD17_NYC_6_50p_filtered,gCSD17_NYC_11_50p_filtered,gCSD17_SAN_15_50p_filtered,gCSD17_NYC_13_50p_filtered,gCSD17_DEN_17_50p_filtered,gCSD17_NYC_1_50p_filtered,gCSD17_BAL_6_50p_filtered,gCSD17_BAL_3_50p_filtered,gCSD16_NYC_2_50p_filtered,gCSD17_NYC_7_50p_filtered,gCSD16_SAC_10_50p_filtered,gCSD16_DEN_4_50p_filtered,gCSD17_BAL_12_50p_filtered,gCSD16_DEN_9_50p_filtered,gCSD17_SAN_1_50p_filtered,gCSD16_DEN_12_50p_filtered,gCSD16_DEN_13_50p_filtered,gCSD17_MIN_4_50p_filtered,gCSD17_SAN_16_50p_filtered,gCSD17_NYC_3_50p_filtered,gCSD16_NYC_15_50p_filtered,gCSD16_SAC_16_50p_filtered,gCSD17_SAN_8_50p_filtered,gCSD16_DEN_7_50p_filtered,gCSD16_NYC_13_50p_filtered,gCSD17_NYC_2_50p_filtered,gCSD17_NYC_4_50p_filtered,gCSD16_DEN_16_50p_filtered,gCSD16_NYC_18_50p_filtered,gCSD17_SAN_7_50p_filtered,gCSD17_SAN_11_50p_filtered,gCSD17_DEN_14_50p_filtered,gCSD16_SAC_7_50p_filtered,gCSD16_DEN_2_50p_filtered
A16S,735.0,3405.0,9913.0,76968.0,160.0,303.0,151.0,308.0,3490.0,2154.0,164.0,0.0,129.0,2378.0,13516.0,9005.0,2282.0,2137.0,1566.0,2154.0,36400.0,506.0,1066.0,473.0,0.0,517.0,7531.0,2967.0,3470.0,1556.0,1771.0,71729.0,1958.0,0.0,1106.0,8339.0,53072.0,0.0,16700.0,6517.0,7340.0,1496.0,417.0,59987.0,394.0,2135.0,2227.0,197.0,1414.0,1194.0,9263.0,16484.0,1755.0,1815.0,815.0,153.0,132.0,244.0,1346.0,579.0,644.0,2693.0,1368.0,415.0,2216.0,351.0,2978.0,13254.0,7668.0,912.0,1058.0,1936.0,45.0,0.0,1784.0,467.0,0.0,65.0,1367.0,3308.0,1025.0,1907.0,137.0,1476.0,75.0,451.0,176.0,317.0,3038.0,419.0,1260.0,354.0,8170.0,9556.0,292.0,2678.0,58910.0,11895.0,2108.0,640.0,10419.0,1694.0,2827.0,2755.0,1586.0,423.0,2482.0,175.0,1234.0,333.0,2171.0,2030.0,3336.0,2418.0,1986.0,1662.0,56.0,116.0,3880.0,90.0,1799.0,108.0,9070.0,50245.0,1218.0,1170.0,556.0,42879.0,3133.0,1504.0,93.0,45704.0,1478.0,736.0,507.0,1298.0,0.0
ERMX,17.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,68.0,61.0,0.0,0.0,0.0,0.0,26.0,0.0,28.0,0.0,0.0,0.0,47.0,486.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,406.0,47.0,0.0,85.0,0.0,11.0,22.0,0.0,0.0,0.0,62.0,0.0,0.0,18.0,0.0,46.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,476.0,0.0,100.0,0.0,0.0,117.0,0.0,185.0,278.0,16.0,0.0,32.0,0.0,0.0,0.0,38.0,0.0,25.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
GYRA,252.0,1658.0,786.0,10198.0,118.0,157.0,86.0,0.0,1498.0,429.0,0.0,0.0,446.0,1155.0,5899.0,4558.0,533.0,0.0,0.0,0.0,6310.0,0.0,1854.0,147.0,0.0,263.0,2787.0,3756.0,1347.0,511.0,524.0,9694.0,2102.0,0.0,0.0,6319.0,13363.0,0.0,4510.0,1233.0,450.0,339.0,1354.0,6551.0,0.0,1772.0,838.0,0.0,791.0,883.0,3254.0,4851.0,403.0,118.0,0.0,0.0,0.0,144.0,222.0,228.0,662.0,864.0,774.0,0.0,1351.0,634.0,0.0,6896.0,2855.0,360.0,244.0,1040.0,0.0,0.0,2164.0,176.0,0.0,0.0,0.0,727.0,352.0,0.0,441.0,448.0,0.0,179.0,423.0,264.0,791.0,0.0,0.0,248.0,2125.0,4597.0,152.0,2286.0,11984.0,7705.0,1532.0,0.0,5327.0,955.0,4133.0,4025.0,416.0,0.0,2314.0,285.0,235.0,0.0,859.0,189.0,3676.0,0.0,0.0,372.0,0.0,0.0,0.0,47.0,2448.0,0.0,1495.0,11318.0,0.0,333.0,257.0,7344.0,2208.0,527.0,97.0,7656.0,0.0,1523.0,550.0,0.0,0.0
MERR,11.0,0.0,23.0,88.0,11.0,36.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,20.0,116.0,53.0,0.0,0.0,0.0,0.0,40.0,93.0,52.0,12.0,0.0,78.0,22.0,0.0,16.0,0.0,0.0,86.0,41.0,0.0,0.0,109.0,188.0,0.0,40.0,0.0,0.0,0.0,31.0,36.0,87.0,15.0,0.0,0.0,14.0,0.0,24.0,41.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,39.0,0.0,0.0,125.0,0.0,0.0,24.0,0.0,44.0,0.0,91.0,21.0,27.0,0.0,0.0,60.0,31.0,0.0,0.0,0.0,0.0,93.0,0.0,19.0,23.0,0.0,14.0,18.0,29.0,0.0,0.0,0.0,80.0,26.0,22.0,14.0,28.0,294.0,0.0,0.0,0.0,29.0,26.0,42.0,23.0,28.0,0.0,29.0,27.0,17.0,53.0,112.0,9.0,12.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,79.0,0.0,115.0,179.0,0.0,0.0,0.0,42.0,0.0,24.0,0.0,90.0,0.0,37.0,28.0,0.0,0.0
MERT,18.0,0.0,34.0,180.0,8.0,17.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,25.0,174.0,0.0,0.0,0.0,0.0,0.0,59.0,39.0,44.0,0.0,0.0,70.0,38.0,30.0,25.0,21.0,0.0,142.0,0.0,0.0,0.0,184.0,222.0,0.0,101.0,0.0,19.0,0.0,21.0,112.0,56.0,33.0,0.0,0.0,0.0,0.0,101.0,28.0,0.0,0.0,8.0,0.0,0.0,19.0,8.0,13.0,0.0,0.0,102.0,0.0,0.0,33.0,0.0,89.0,26.0,53.0,0.0,43.0,9.0,0.0,18.0,36.0,0.0,0.0,13.0,16.0,68.0,0.0,12.0,27.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,60.0,40.0,14.0,0.0,8.0,399.0,121.0,0.0,0.0,57.0,0.0,49.0,90.0,0.0,0.0,44.0,25.0,0.0,35.0,113.0,0.0,74.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,39.0,0.0,226.0,229.0,0.0,0.0,0.0,115.0,24.0,30.0,0.0,148.0,0.0,9.0,12.0,0.0,0.0
MLS23S,1587.0,7968.0,16738.0,181404.0,256.0,106.0,178.0,746.0,6180.0,1194.0,533.0,0.0,411.0,5971.0,27689.0,17832.0,3039.0,2430.0,0.0,2230.0,86339.0,0.0,1048.0,1533.0,0.0,736.0,15705.0,5970.0,6373.0,3057.0,1928.0,169007.0,3407.0,0.0,1955.0,16525.0,142211.0,0.0,34253.0,9578.0,8672.0,2351.0,1944.0,154127.0,0.0,6802.0,3163.0,0.0,3437.0,990.0,16845.0,39655.0,1385.0,2432.0,507.0,473.0,442.0,147.0,2564.0,123.0,1116.0,4801.0,3222.0,267.0,2396.0,1322.0,4044.0,28635.0,14901.0,1974.0,368.0,2546.0,0.0,0.0,6705.0,156.0,0.0,0.0,2215.0,9132.0,966.0,0.0,143.0,3129.0,0.0,310.0,117.0,483.0,4712.0,546.0,0.0,490.0,22230.0,14800.0,232.0,6391.0,184728.0,30226.0,6047.0,1315.0,25239.0,2598.0,8357.0,6636.0,3190.0,0.0,5994.0,488.0,2220.0,0.0,4441.0,2979.0,6227.0,1673.0,0.0,2968.0,0.0,0.0,0.0,0.0,1891.0,0.0,24248.0,123285.0,1932.0,1274.0,625.0,110163.0,6082.0,3156.0,422.0,104673.0,2260.0,395.0,507.0,1642.0,0.0
O23S,330.0,619.0,1514.0,2704.0,221.0,173.0,266.0,285.0,513.0,306.0,83.0,0.0,175.0,640.0,3333.0,2959.0,420.0,362.0,0.0,663.0,2362.0,0.0,229.0,387.0,0.0,188.0,3101.0,609.0,778.0,701.0,447.0,4934.0,358.0,0.0,386.0,2341.0,21018.0,123.0,3806.0,1592.0,1692.0,417.0,179.0,1193.0,0.0,524.0,418.0,0.0,398.0,303.0,2820.0,3756.0,485.0,639.0,0.0,135.0,0.0,177.0,622.0,167.0,569.0,474.0,663.0,0.0,0.0,144.0,816.0,3917.0,2135.0,304.0,0.0,0.0,0.0,134.0,713.0,194.0,766.0,0.0,354.0,1257.0,224.0,0.0,183.0,912.0,0.0,193.0,146.0,152.0,725.0,268.0,353.0,168.0,3941.0,1758.0,222.0,652.0,8261.0,4772.0,709.0,0.0,3937.0,0.0,709.0,750.0,476.0,0.0,533.0,131.0,400.0,0.0,617.0,868.0,887.0,417.0,499.0,840.0,0.0,0.0,918.0,349.0,0.0,0.0,0.0,1146.0,235.0,0.0,2955.0,1844.0,886.0,382.0,175.0,2903.0,408.0,0.0,183.0,493.0,96.0
RRS,167.0,500.0,503.0,712.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,472.0,1186.0,1082.0,256.0,329.0,0.0,0.0,654.0,0.0,177.0,0.0,0.0,0.0,990.0,883.0,555.0,348.0,221.0,1131.0,225.0,0.0,193.0,1368.0,4325.0,0.0,1408.0,625.0,416.0,262.0,0.0,303.0,0.0,544.0,317.0,0.0,234.0,124.0,1042.0,1260.0,177.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,377.0,274.0,0.0,0.0,0.0,283.0,1502.0,876.0,145.0,130.0,295.0,0.0,0.0,475.0,0.0,0.0,0.0,185.0,304.0,168.0,0.0,0.0,336.0,67.0,131.0,0.0,0.0,481.0,160.0,0.0,0.0,1778.0,867.0,0.0,748.0,447.0,1748.0,376.0,0.0,1372.0,257.0,675.0,697.0,242.0,0.0,455.0,92.0,245.0,0.0,235.0,267.0,486.0,257.0,0.0,295.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,212.0,294.0,146.0,0.0,597.0,442.0,283.0,0.0,844.0,201.0,0.0,0.0,0.0,0.0
RRSA,150.0,582.0,367.0,456.0,0.0,44.0,0.0,0.0,440.0,88.0,51.0,0.0,60.0,310.0,834.0,767.0,200.0,318.0,0.0,173.0,512.0,0.0,134.0,0.0,0.0,0.0,672.0,572.0,386.0,192.0,196.0,711.0,160.0,0.0,158.0,990.0,1833.0,0.0,994.0,536.0,351.0,180.0,106.0,249.0,0.0,346.0,306.0,0.0,186.0,128.0,759.0,1009.0,160.0,146.0,108.0,0.0,0.0,0.0,112.0,0.0,114.0,305.0,152.0,0.0,270.0,54.0,261.0,1163.0,617.0,106.0,91.0,151.0,0.0,0.0,294.0,44.0,0.0,0.0,165.0,241.0,110.0,0.0,75.0,182.0,0.0,99.0,130.0,0.0,352.0,0.0,0.0,0.0,1099.0,720.0,0.0,509.0,295.0,1270.0,249.0,0.0,986.0,239.0,466.0,472.0,158.0,106.0,383.0,0.0,189.0,32.0,145.0,176.0,349.0,188.0,0.0,221.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,155.0,202.0,108.0,152.0,343.0,311.0,224.0,0.0,544.0,159.0,91.0,94.0,143.0,0.0
TET16S,395.0,567.0,495.0,902.0,192.0,165.0,206.0,107.0,518.0,354.0,0.0,0.0,488.0,1685.0,2635.0,1752.0,232.0,257.0,0.0,240.0,816.0,89.0,225.0,262.0,0.0,322.0,1826.0,1581.0,548.0,776.0,207.0,2082.0,470.0,0.0,141.0,2213.0,4414.0,28.0,2465.0,1120.0,452.0,378.0,1485.0,345.0,0.0,2211.0,272.0,0.0,947.0,144.0,1704.0,1822.0,149.0,217.0,152.0,0.0,0.0,256.0,411.0,239.0,1109.0,389.0,853.0,59.0,340.0,607.0,269.0,2915.0,1653.0,373.0,198.0,241.0,0.0,0.0,2637.0,242.0,0.0,0.0,195.0,773.0,326.0,0.0,511.0,615.0,60.0,195.0,407.0,317.0,412.0,121.0,0.0,272.0,3009.0,729.0,184.0,1581.0,1301.0,4003.0,2175.0,0.0,2888.0,360.0,3118.0,1392.0,503.0,127.0,1291.0,363.0,287.0,79.0,615.0,378.0,630.0,221.0,0.0,558.0,0.0,0.0,0.0,81.0,224.0,0.0,540.0,263.0,261.0,174.0,240.0,620.0,513.0,650.0,190.0,1100.0,198.0,102.0,368.0,144.0,48.0
