"","result.all"
"DEN versus all",0.938770325203252
"NYC versus all",0.961299569995222
"SAC versus all",0.988119834710744
"BAL versus all",0.923925667828107
"MIN versus all",0.977099236641221
"SAN versus all",0.884436701509872
"+ DEN NYC +",0.998409331919406
"+ DEN SAC +",0.998475609756098
"+ DEN BAL +",0.940766550522648
"+ DEN MIN +",0.995934959349593
"+ DEN SAN +",0.890243902439024
"+ NYC SAC +",1
"+ NYC BAL +",0.927018633540373
"+ NYC MIN +",0.898550724637681
"+ NYC SAN +",0.987577639751553
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.933035714285714
"+ BAL MIN +",1
"+ BAL SAN +",0.933673469387755
"+ MIN SAN +",0.952380952380952
