"","result.all"
"DEN versus all",0.967987804878049
"NYC versus all",0.942427138079312
"SAC versus all",0.977272727272727
"BAL versus all",0.931475029036005
"MIN versus all",0.935114503816794
"SAN versus all",0.893728222996516
"+ DEN NYC +",0.996818663838812
"+ DEN SAC +",0.99390243902439
"+ DEN BAL +",0.942508710801394
"+ DEN MIN +",1
"+ DEN SAN +",0.878048780487805
"+ NYC SAC +",0.995923913043478
"+ NYC BAL +",0.933229813664596
"+ NYC MIN +",0.960144927536232
"+ NYC SAN +",0.978260869565217
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.955357142857143
"+ BAL MIN +",1
"+ BAL SAN +",0.948979591836735
"+ MIN SAN +",0.916666666666667
