"","result.all"
"DEN versus all",0.966209349593496
"NYC versus all",0.94314381270903
"SAC versus all",0.985537190082645
"BAL versus all",0.925667828106852
"MIN versus all",0.959287531806616
"SAN versus all",0.882113821138211
"+ DEN NYC +",0.995227995758218
"+ DEN SAC +",0.992378048780488
"+ DEN BAL +",0.949477351916376
"+ DEN MIN +",1
"+ DEN SAN +",0.878048780487805
"+ NYC SAC +",1
"+ NYC BAL +",0.936335403726708
"+ NYC MIN +",0.942028985507246
"+ NYC SAN +",0.97360248447205
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.933035714285714
"+ BAL MIN +",1
"+ BAL SAN +",0.923469387755102
"+ MIN SAN +",0.976190476190476
