"","result.all"
"DEN versus all",0.953760162601626
"NYC versus all",0.929288103201147
"SAC versus all",0.981404958677686
"BAL versus all",0.926538908246225
"MIN versus all",0.93765903307888
"SAN versus all",0.846109175377468
"+ DEN NYC +",0.994167550371156
"+ DEN SAC +",0.996951219512195
"+ DEN BAL +",0.939024390243902
"+ DEN MIN +",1
"+ DEN SAN +",0.881533101045296
"+ NYC SAC +",1
"+ NYC BAL +",0.947204968944099
"+ NYC MIN +",0.934782608695652
"+ NYC SAN +",0.976708074534162
"+ SAC BAL +",1
"+ SAC MIN +",0.989583333333333
"+ SAC SAN +",0.930803571428572
"+ BAL MIN +",1
"+ BAL SAN +",0.933673469387755
"+ MIN SAN +",0.952380952380952
