"","result.all"
"DEN versus all",0.966463414634146
"NYC versus all",0.944577161968466
"SAC versus all",0.984504132231405
"BAL versus all",0.927119628339141
"MIN versus all",0.978371501272265
"SAN versus all",0.885598141695703
"+ DEN NYC +",0.996288441145281
"+ DEN SAC +",0.990853658536585
"+ DEN BAL +",0.965156794425087
"+ DEN MIN +",1
"+ DEN SAN +",0.897212543554007
"+ NYC SAC +",0.997282608695652
"+ NYC BAL +",0.947204968944099
"+ NYC MIN +",0.952898550724638
"+ NYC SAN +",0.981366459627329
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.924107142857143
"+ BAL MIN +",1
"+ BAL SAN +",0.938775510204082
"+ MIN SAN +",0.952380952380952
