"","result.all"
"DEN versus all",0.954522357723577
"NYC versus all",0.961060678451983
"SAC versus all",0.979855371900826
"BAL versus all",0.922764227642276
"MIN versus all",0.983460559796438
"SAN versus all",0.87253193960511
"+ DEN NYC +",0.994697773064687
"+ DEN SAC +",0.989329268292683
"+ DEN BAL +",0.915505226480836
"+ DEN MIN +",1
"+ DEN SAN +",0.86411149825784
"+ NYC SAC +",1
"+ NYC BAL +",0.937888198757764
"+ NYC MIN +",0.934782608695652
"+ NYC SAN +",0.97360248447205
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.941964285714286
"+ BAL MIN +",0.988095238095238
"+ BAL SAN +",0.88265306122449
"+ MIN SAN +",0.928571428571429
