"","result.all"
"DEN versus all",0.876270325203252
"NYC versus all",0.955805064500717
"SAC versus all",0.5
"BAL versus all",0.886178861788618
"MIN versus all",0.921119592875318
"SAN versus all",0.876887340301974
"+ DEN NYC +",0.978260869565217
"+ DEN SAC +",0.972560975609756
"+ DEN BAL +",0.885017421602787
"+ DEN MIN +",1
"+ DEN SAN +",0.860627177700348
"+ NYC SAC +",0.959239130434783
"+ NYC BAL +",0.739130434782609
"+ NYC MIN +",0.952898550724638
"+ NYC SAN +",0.970496894409938
"+ SAC BAL +",0.964285714285714
"+ SAC MIN +",1
"+ SAC SAN +",0.941964285714286
"+ BAL MIN +",0.928571428571429
"+ BAL SAN +",0.897959183673469
"+ MIN SAN +",0.904761904761905
