"","result.all"
"DEN versus all",0.928861788617886
"NYC versus all",0.945532728141424
"SAC versus all",0.5
"BAL versus all",0.926829268292683
"MIN versus all",0.969465648854962
"SAN versus all",0.900116144018583
"+ DEN NYC +",0.993637327677625
"+ DEN SAC +",0.989329268292683
"+ DEN BAL +",0.925087108013937
"+ DEN MIN +",1
"+ DEN SAN +",0.817073170731707
"+ NYC SAC +",0.994565217391304
"+ NYC BAL +",0.914596273291925
"+ NYC MIN +",0.967391304347826
"+ NYC SAN +",0.979813664596273
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.861607142857143
"+ BAL MIN +",1
"+ BAL SAN +",0.964285714285714
"+ MIN SAN +",0.952380952380952
