"","result.all"
"DEN versus all",0.927083333333333
"NYC versus all",0.94314381270903
"SAC versus all",0.50025826446281
"BAL versus all",0.900696864111498
"MIN versus all",0.959923664122137
"SAN versus all",0.864692218350755
"+ DEN NYC +",0.994167550371156
"+ DEN SAC +",0.984756097560976
"+ DEN BAL +",0.912891986062718
"+ DEN MIN +",1
"+ DEN SAN +",0.813588850174216
"+ NYC SAC +",0.987771739130435
"+ NYC BAL +",0.923913043478261
"+ NYC MIN +",0.963768115942029
"+ NYC SAN +",0.962732919254658
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.828125
"+ BAL MIN +",1
"+ BAL SAN +",0.928571428571429
"+ MIN SAN +",0.880952380952381
