"","result.all"
"DEN versus all",0.889989837398374
"NYC versus all",0.925226946966077
"SAC versus all",0.894111570247934
"BAL versus all",0.8931475029036
"MIN versus all",0.947837150127226
"SAN versus all",0.851335656213705
"+ DEN NYC +",0.992046659597031
"+ DEN SAC +",0.980182926829268
"+ DEN BAL +",0.951219512195122
"+ DEN MIN +",1
"+ DEN SAN +",0.834494773519164
"+ NYC SAC +",0.978260869565217
"+ NYC BAL +",0.756211180124224
"+ NYC MIN +",0.963768115942029
"+ NYC SAN +",0.97360248447205
"+ SAC BAL +",0.928571428571429
"+ SAC MIN +",1
"+ SAC SAN +",0.9375
"+ BAL MIN +",1
"+ BAL SAN +",0.928571428571429
"+ MIN SAN +",0.880952380952381
