"","result.all"
"DEN versus all",0.897611788617886
"NYC versus all",0.94314381270903
"SAC versus all",0.5
"BAL versus all",0.920731707317073
"MIN versus all",0.970737913486005
"SAN versus all",0.888211382113821
"+ DEN NYC +",0.992046659597031
"+ DEN SAC +",0.98780487804878
"+ DEN BAL +",0.944250871080139
"+ DEN MIN +",1
"+ DEN SAN +",0.841463414634146
"+ NYC SAC +",1
"+ NYC BAL +",0.924689440993789
"+ NYC MIN +",0.97463768115942
"+ NYC SAN +",0.992236024844721
"+ SAC BAL +",0.991071428571429
"+ SAC MIN +",1
"+ SAC SAN +",0.928571428571429
"+ BAL MIN +",1
"+ BAL SAN +",0.954081632653061
"+ MIN SAN +",0.904761904761905
