"","result.all"
"DEN versus all",0.928861788617886
"NYC versus all",0.95819397993311
"SAC versus all",0.908057851239669
"BAL versus all",0.883275261324042
"MIN versus all",0.978371501272265
"SAN versus all",0.862369337979094
"+ DEN NYC +",0.994167550371156
"+ DEN SAC +",0.984756097560976
"+ DEN BAL +",0.876306620209059
"+ DEN MIN +",0.995934959349594
"+ DEN SAN +",0.831010452961672
"+ NYC SAC +",0.995923913043478
"+ NYC BAL +",0.937888198757764
"+ NYC MIN +",0.967391304347826
"+ NYC SAN +",0.979813664596273
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.928571428571429
"+ BAL MIN +",0.988095238095238
"+ BAL SAN +",0.948979591836735
"+ MIN SAN +",0.916666666666667
