sample	gene	count
gCSD17_BAL_10_50p_filtered	A16S	735.0
gCSD17_BAL_10_50p_filtered	ERMX	17.0
gCSD17_BAL_10_50p_filtered	GYRA	252.0
gCSD17_BAL_10_50p_filtered	MERR	11.0
gCSD17_BAL_10_50p_filtered	MERT	18.0
gCSD17_BAL_10_50p_filtered	MLS23S	1587.0
gCSD17_BAL_10_50p_filtered	O23S	330.0
gCSD17_BAL_10_50p_filtered	RRS	167.0
gCSD17_BAL_10_50p_filtered	RRSA	150.0
gCSD17_BAL_10_50p_filtered	TET16S	395.0
gCSD17_BAL_10_50p_filtered	TUFAB	425.0
gCSD17_BAL_10_50p_filtered	ACN	0.0
gCSD17_BAL_10_50p_filtered	CAP16S	0.0
gCSD17_BAL_10_50p_filtered	COPC	0.0
gCSD17_BAL_10_50p_filtered	DNAK	0.0
gCSD17_BAL_10_50p_filtered	LNUA	0.0
gCSD17_BAL_10_50p_filtered	MTRAD	0.0
gCSD17_BAL_10_50p_filtered	RPOB	0.0
gCSD17_BAL_10_50p_filtered	RPOCR	0.0
gCSD17_BAL_10_50p_filtered	RPSA	0.0
gCSD17_BAL_10_50p_filtered	RPSL	0.0
gCSD17_BAL_10_50p_filtered	RRSC	0.0
gCSD17_BAL_10_50p_filtered	RRSH	0.0
gCSD17_BAL_10_50p_filtered	TCRB	0.0
gCSD17_BAL_10_50p_filtered	VANRS	0.0
gCSD17_BAL_10_50p_filtered	ANT3-DPRIME	0.0
gCSD17_BAL_10_50p_filtered	APH3-DPRIME	0.0
gCSD17_BAL_10_50p_filtered	APH6	0.0
gCSD17_BAL_10_50p_filtered	BLAI	0.0
gCSD17_BAL_10_50p_filtered	BLAR	0.0
gCSD17_BAL_10_50p_filtered	CADD	0.0
gCSD17_BAL_10_50p_filtered	CADX	0.0
gCSD17_BAL_10_50p_filtered	CORA	0.0
gCSD17_BAL_10_50p_filtered	CORC	0.0
gCSD17_BAL_10_50p_filtered	CPXAR	0.0
gCSD17_BAL_10_50p_filtered	DFRA	0.0
gCSD17_BAL_10_50p_filtered	EMRR	0.0
gCSD17_BAL_10_50p_filtered	ERMC	0.0
gCSD17_BAL_10_50p_filtered	FABI	0.0
gCSD17_BAL_10_50p_filtered	FOSB	0.0
gCSD17_BAL_10_50p_filtered	FUSA	0.0
gCSD17_BAL_10_50p_filtered	FUSE	0.0
gCSD17_BAL_10_50p_filtered	GYRB	0.0
gCSD17_BAL_10_50p_filtered	ICR	0.0
gCSD17_BAL_10_50p_filtered	MERA	0.0
gCSD17_BAL_10_50p_filtered	MERP	0.0
gCSD17_BAL_10_50p_filtered	MEXT	0.0
gCSD17_BAL_10_50p_filtered	MPHE	0.0
gCSD17_BAL_10_50p_filtered	MSRE	0.0
gCSD17_BAL_10_50p_filtered	OXA	0.0
gCSD17_BAL_10_50p_filtered	OXYRKP	0.0
gCSD17_BAL_10_50p_filtered	PARE	0.0
gCSD17_BAL_10_50p_filtered	PCOB	0.0
gCSD17_BAL_10_50p_filtered	PCOC	0.0
gCSD17_BAL_10_50p_filtered	PCOD	0.0
gCSD17_BAL_10_50p_filtered	PCOE	0.0
gCSD17_BAL_10_50p_filtered	PCOS	0.0
gCSD17_BAL_10_50p_filtered	PSTA	0.0
gCSD17_BAL_10_50p_filtered	PSTB	0.0
gCSD17_BAL_10_50p_filtered	PSTC	0.0
gCSD17_BAL_10_50p_filtered	PTSL	0.0
gCSD17_BAL_10_50p_filtered	QACC	0.0
gCSD17_BAL_10_50p_filtered	QACR	0.0
gCSD17_BAL_10_50p_filtered	RECGM	0.0
gCSD17_BAL_10_50p_filtered	RLMH	0.0
gCSD17_BAL_10_50p_filtered	RPOCL	0.0
gCSD17_BAL_10_50p_filtered	RPOS	0.0
gCSD17_BAL_10_50p_filtered	SILA	0.0
gCSD17_BAL_10_50p_filtered	SILB	0.0
gCSD17_BAL_10_50p_filtered	SILC	0.0
gCSD17_BAL_10_50p_filtered	SILE	0.0
gCSD17_BAL_10_50p_filtered	SILP	0.0
gCSD17_BAL_10_50p_filtered	SILS	0.0
gCSD17_BAL_10_50p_filtered	SODA	0.0
gCSD17_BAL_10_50p_filtered	SODB	0.0
gCSD17_BAL_10_50p_filtered	SULII	0.0
gCSD17_BAL_10_50p_filtered	TCRY	0.0
gCSD17_BAL_10_50p_filtered	TCRZ	0.0
gCSD17_BAL_10_50p_filtered	TET39	0.0
gCSD17_BAL_10_50p_filtered	TETR	0.0
gCSD17_BAL_10_50p_filtered	YJCG	0.0
