"","result.all"
"DEN versus all",0.937979094076655
"NYC versus all",0.962691538974017
"SAC versus all",0.983660130718954
"BAL versus all",0.86492281303602
"MIN versus all",0.948214285714286
"SAN versus all",0.893491124260355
"+ DEN NYC +",1
"+ DEN SAC +",0.992380952380952
"+ DEN BAL +",0.909090909090909
"+ DEN MIN +",1
"+ DEN SAN +",0.846153846153846
"+ NYC SAC +",1
"+ NYC BAL +",0.913875598086124
"+ NYC MIN +",0.91578947368421
"+ NYC SAN +",0.981781376518219
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.930769230769231
"+ BAL MIN +",1
"+ BAL SAN +",0.909090909090909
"+ MIN SAN +",0.953846153846154
