"","result.all"
"DEN versus all",0.954703832752613
"NYC versus all",0.938707528314457
"SAC versus all",0.977124183006536
"BAL versus all",0.878216123499142
"MIN versus all",0.95
"SAN versus all",0.84689349112426
"+ DEN NYC +",0.993984962406015
"+ DEN SAC +",0.986666666666667
"+ DEN BAL +",0.893506493506493
"+ DEN MIN +",1
"+ DEN SAN +",0.874725274725275
"+ NYC SAC +",0.991228070175439
"+ NYC BAL +",0.925837320574163
"+ NYC MIN +",0.936842105263158
"+ NYC SAN +",0.967611336032389
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.933333333333333
"+ BAL MIN +",0.981818181818182
"+ BAL SAN +",0.923076923076923
"+ MIN SAN +",0.923076923076923
