"","result.all"
"DEN versus all",0.940418118466899
"NYC versus all",0.933710859427049
"SAC versus all",0.975816993464052
"BAL versus all",0.897941680960549
"MIN versus all",0.951785714285714
"SAN versus all",0.848372781065089
"+ DEN NYC +",0.990977443609023
"+ DEN SAC +",0.992380952380952
"+ DEN BAL +",0.935064935064935
"+ DEN MIN +",1
"+ DEN SAN +",0.887912087912088
"+ NYC SAC +",1
"+ NYC BAL +",0.930622009569378
"+ NYC MIN +",0.915789473684211
"+ NYC SAN +",0.969635627530364
"+ SAC BAL +",1
"+ SAC MIN +",0.986666666666667
"+ SAC SAN +",0.917948717948718
"+ BAL MIN +",1
"+ BAL SAN +",0.874125874125874
"+ MIN SAN +",0.953846153846154
