"","result.all"
"DEN versus all",0.947735191637631
"NYC versus all",0.923051299133911
"SAC versus all",0.976470588235294
"BAL versus all",0.904802744425386
"MIN versus all",0.886607142857143
"SAN versus all",0.853550295857988
"+ DEN NYC +",0.990225563909774
"+ DEN SAC +",0.994285714285714
"+ DEN BAL +",0.927272727272727
"+ DEN MIN +",1
"+ DEN SAN +",0.881318681318681
"+ NYC SAC +",1
"+ NYC BAL +",0.904306220095694
"+ NYC MIN +",0.910526315789474
"+ NYC SAN +",0.97165991902834
"+ SAC BAL +",1
"+ SAC MIN +",0.986666666666667
"+ SAC SAN +",0.923076923076923
"+ BAL MIN +",1
"+ BAL SAN +",0.909090909090909
"+ MIN SAN +",0.953846153846154
