"","result.all"
"DEN versus all",0.951567944250871
"NYC versus all",0.943371085942705
"SAC versus all",0.97843137254902
"BAL versus all",0.854202401372213
"MIN versus all",0.976785714285714
"SAN versus all",0.857988165680473
"+ DEN NYC +",0.993984962406015
"+ DEN SAC +",0.988571428571429
"+ DEN BAL +",0.935064935064935
"+ DEN MIN +",1
"+ DEN SAN +",0.887912087912088
"+ NYC SAC +",0.996491228070175
"+ NYC BAL +",0.917464114832536
"+ NYC MIN +",0.942105263157895
"+ NYC SAN +",0.969635627530364
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.907692307692308
"+ BAL MIN +",1
"+ BAL SAN +",0.909090909090909
"+ MIN SAN +",0.969230769230769
