"","result.all"
"DEN versus all",0.941289198606272
"NYC versus all",0.953031312458361
"SAC versus all",0.979084967320261
"BAL versus all",0.901372212692967
"MIN versus all",0.976785714285714
"SAN versus all",0.856508875739645
"+ DEN NYC +",0.993233082706767
"+ DEN SAC +",0.984761904761905
"+ DEN BAL +",0.911688311688312
"+ DEN MIN +",0.994285714285714
"+ DEN SAN +",0.843956043956044
"+ NYC SAC +",0.994736842105263
"+ NYC BAL +",0.904306220095694
"+ NYC MIN +",0.947368421052632
"+ NYC SAN +",0.975708502024291
"+ SAC BAL +",1
"+ SAC MIN +",0.973333333333333
"+ SAC SAN +",0.897435897435897
"+ BAL MIN +",0.981818181818182
"+ BAL SAN +",0.839160839160839
"+ MIN SAN +",0.907692307692308
