"","result.all"
"DEN versus all",0.915546218487395
"NYC versus all",0.972257789159198
"SAC versus all",0.994444444444444
"BAL versus all",0.926315789473684
"MIN versus all",0.953535353535354
"SAN versus all",0.947368421052632
"+ DEN NYC +",1
"+ DEN SAC +",0.995798319327731
"+ DEN BAL +",0.986928104575163
"+ DEN MIN +",0.994117647058824
"+ DEN SAN +",1
"+ NYC SAC +",1
"+ NYC BAL +",0.915824915824916
"+ NYC MIN +",0.96969696969697
"+ NYC SAN +",1
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",1
"+ BAL MIN +",0.977777777777778
"+ BAL SAN +",0.987654320987654
"+ MIN SAN +",0.977777777777778
