"","result.all"
"DEN versus all",0.932773109243697
"NYC versus all",0.964575330772514
"SAC versus all",0.971428571428571
"BAL versus all",0.931578947368421
"MIN versus all",0.971717171717172
"SAN versus all",0.892397660818713
"+ DEN NYC +",0.992869875222816
"+ DEN SAC +",0.985294117647059
"+ DEN BAL +",0.964052287581699
"+ DEN MIN +",1
"+ DEN SAN +",0.856209150326797
"+ NYC SAC +",0.987012987012987
"+ NYC BAL +",0.952861952861953
"+ NYC MIN +",0.963636363636364
"+ NYC SAN +",1
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",1
"+ BAL MIN +",1
"+ BAL SAN +",1
"+ MIN SAN +",0.955555555555555
