"","result.all"
"DEN versus all",0.915126050420168
"NYC versus all",0.959453691848058
"SAC versus all",0.990476190476191
"BAL versus all",0.960233918128655
"MIN versus all",0.965656565656566
"SAN versus all",0.901754385964912
"+ DEN NYC +",0.992869875222816
"+ DEN SAC +",0.987394957983193
"+ DEN BAL +",0.973856209150327
"+ DEN MIN +",1
"+ DEN SAN +",0.895424836601307
"+ NYC SAC +",0.997835497835498
"+ NYC BAL +",0.976430976430976
"+ NYC MIN +",0.963636363636364
"+ NYC SAN +",1
"+ SAC BAL +",1
"+ SAC MIN +",0.985714285714286
"+ SAC SAN +",1
"+ BAL MIN +",1
"+ BAL SAN +",0.975308641975309
"+ MIN SAN +",0.977777777777778
