"","result.all"
"DEN versus all",0.91890756302521
"NYC versus all",0.949210413999146
"SAC versus all",0.98968253968254
"BAL versus all",0.940350877192982
"MIN versus all",0.923232323232323
"SAN versus all",0.907602339181287
"+ DEN NYC +",0.990196078431373
"+ DEN SAC +",0.993697478991597
"+ DEN BAL +",0.964052287581699
"+ DEN MIN +",0.994117647058824
"+ DEN SAN +",0.882352941176471
"+ NYC SAC +",1
"+ NYC BAL +",0.95959595959596
"+ NYC MIN +",0.945454545454545
"+ NYC SAN +",1
"+ SAC BAL +",1
"+ SAC MIN +",0.957142857142857
"+ SAC SAN +",1
"+ BAL MIN +",1
"+ BAL SAN +",0.987654320987654
"+ MIN SAN +",1
