"","result.all"
"DEN versus all",0.921428571428571
"NYC versus all",0.966709346991037
"SAC versus all",0.990476190476191
"BAL versus all",0.941520467836257
"MIN versus all",0.983838383838384
"SAN versus all",0.894736842105263
"+ DEN NYC +",0.992869875222816
"+ DEN SAC +",0.989495798319328
"+ DEN BAL +",0.944444444444444
"+ DEN MIN +",1
"+ DEN SAN +",0.892156862745098
"+ NYC SAC +",1
"+ NYC BAL +",0.936026936026936
"+ NYC MIN +",0.951515151515152
"+ NYC SAN +",1
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",1
"+ BAL MIN +",1
"+ BAL SAN +",0.987654320987654
"+ MIN SAN +",1
