"","result.all"
"DEN versus all",0.915126050420168
"NYC versus all",0.965002134016218
"SAC versus all",0.988888888888889
"BAL versus all",0.945029239766082
"MIN versus all",0.985858585858586
"SAN versus all",0.894736842105263
"+ DEN NYC +",0.992869875222816
"+ DEN SAC +",0.98109243697479
"+ DEN BAL +",0.96078431372549
"+ DEN MIN +",0.994117647058824
"+ DEN SAN +",0.869281045751634
"+ NYC SAC +",0.987012987012987
"+ NYC BAL +",0.929292929292929
"+ NYC MIN +",0.939393939393939
"+ NYC SAN +",1
"+ SAC BAL +",1
"+ SAC MIN +",0.985714285714286
"+ SAC SAN +",1
"+ BAL MIN +",0.977777777777778
"+ BAL SAN +",1
"+ MIN SAN +",0.977777777777778
