"","result.all"
"DEN versus all",0.812962962962963
"NYC versus all",0.889551192145863
"SAC versus all",0.747961956521739
"BAL versus all",0.47165991902834
"MIN versus all",0.861111111111111
"SAN versus all",0.5
"+ DEN NYC +",0.908212560386473
"+ DEN SAC +",0.885416666666667
"+ DEN BAL +",0.965811965811966
"+ DEN MIN +",0.925925925925926
"+ DEN SAN +",0.95679012345679
"+ NYC SAC +",0.802989130434783
"+ NYC BAL +",0.897993311036789
"+ NYC MIN +",0.934782608695652
"+ NYC SAN +",0.891304347826087
"+ SAC BAL +",0.754807692307692
"+ SAC MIN +",0.96875
"+ SAC SAN +",0.916666666666667
"+ BAL MIN +",0.948717948717949
"+ BAL SAN +",0.931623931623932
"+ MIN SAN +",0.981481481481482
