"","result.all"
"DEN versus all",0.823456790123457
"NYC versus all",0.874123422159888
"SAC versus all",0.847826086956522
"BAL versus all",0.743724696356275
"MIN versus all",0.941176470588235
"SAN versus all",0.726150392817059
"+ DEN NYC +",0.909420289855073
"+ DEN SAC +",0.875
"+ DEN BAL +",0.547008547008547
"+ DEN MIN +",1
"+ DEN SAN +",0.814814814814815
"+ NYC SAC +",0.888586956521739
"+ NYC BAL +",0.908862876254181
"+ NYC MIN +",0.992753623188406
"+ NYC SAN +",0.91304347826087
"+ SAC BAL +",0.855769230769231
"+ SAC MIN +",1
"+ SAC SAN +",0.756944444444444
"+ BAL MIN +",1
"+ BAL SAN +",0.735042735042735
"+ MIN SAN +",0.962962962962963
