"","result.all"
"DEN versus all",0.865740740740741
"NYC versus all",0.878330995792426
"SAC versus all",0.682404891304348
"BAL versus all",0.781781376518219
"MIN versus all",0.840686274509804
"SAN versus all",0.795735129068462
"+ DEN NYC +",0.919082125603865
"+ DEN SAC +",0.868055555555556
"+ DEN BAL +",0.713675213675214
"+ DEN MIN +",0.981481481481482
"+ DEN SAN +",0.87962962962963
"+ NYC SAC +",0.876358695652174
"+ NYC BAL +",0.879598662207358
"+ NYC MIN +",0.91304347826087
"+ NYC SAN +",0.905797101449275
"+ SAC BAL +",0.822115384615385
"+ SAC MIN +",0.875
"+ SAC SAN +",0.777777777777778
"+ BAL MIN +",0.948717948717949
"+ BAL SAN +",0.794871794871795
"+ MIN SAN +",0.888888888888889
