"","result.all"
"DEN versus all",0.861728395061728
"NYC versus all",0.890252454417952
"SAC versus all",0.766983695652174
"BAL versus all",0.765991902834008
"MIN versus all",0.861111111111111
"SAN versus all",0.811447811447811
"+ DEN NYC +",0.915458937198068
"+ DEN SAC +",0.864583333333333
"+ DEN BAL +",0.773504273504274
"+ DEN MIN +",0.972222222222222
"+ DEN SAN +",0.851851851851852
"+ NYC SAC +",0.870923913043478
"+ NYC BAL +",0.908026755852843
"+ NYC MIN +",0.942028985507246
"+ NYC SAN +",0.896135265700483
"+ SAC BAL +",0.870192307692308
"+ SAC MIN +",0.885416666666667
"+ SAC SAN +",0.993055555555556
"+ BAL MIN +",0.935897435897436
"+ BAL SAN +",0.794871794871795
"+ MIN SAN +",0.851851851851852
