"","result.all"
"DEN versus all",0.827777777777778
"NYC versus all",0.887798036465638
"SAC versus all",0.739809782608696
"BAL versus all",0.569230769230769
"MIN versus all",0.937908496732026
"SAN versus all",0.698653198653199
"+ DEN NYC +",0.900966183574879
"+ DEN SAC +",0.817708333333333
"+ DEN BAL +",0.739316239316239
"+ DEN MIN +",1
"+ DEN SAN +",0.861111111111111
"+ NYC SAC +",0.830163043478261
"+ NYC BAL +",0.854515050167224
"+ NYC MIN +",0.963768115942029
"+ NYC SAN +",0.876811594202899
"+ SAC BAL +",0.778846153846154
"+ SAC MIN +",0.84375
"+ SAC SAN +",0.944444444444444
"+ BAL MIN +",1
"+ BAL SAN +",0.786324786324786
"+ MIN SAN +",0.962962962962963
