"","result.all"
"DEN versus all",0.875925925925926
"NYC versus all",0.876577840112202
"SAC versus all",0.704483695652174
"BAL versus all",0.730769230769231
"MIN versus all",0.934640522875817
"SAN versus all",0.758136924803591
"+ DEN NYC +",0.91304347826087
"+ DEN SAC +",0.888888888888889
"+ DEN BAL +",0.923076923076923
"+ DEN MIN +",1
"+ DEN SAN +",0.83641975308642
"+ NYC SAC +",0.884510869565217
"+ NYC BAL +",0.869565217391304
"+ NYC MIN +",0.981884057971015
"+ NYC SAN +",0.871980676328503
"+ SAC BAL +",0.826923076923077
"+ SAC MIN +",0.90625
"+ SAC SAN +",0.951388888888889
"+ BAL MIN +",1
"+ BAL SAN +",0.829059829059829
"+ MIN SAN +",0.907407407407407
