"","result.all"
"DEN versus all",0.832752613240418
"NYC versus all",0.939706862091939
"SAC versus all",0.5
"BAL versus all",0.811320754716981
"MIN versus all",0.905357142857143
"SAN versus all",0.877958579881657
"+ DEN NYC +",0.995488721804511
"+ DEN SAC +",0.971428571428571
"+ DEN BAL +",0.823376623376623
"+ DEN MIN +",1
"+ DEN SAN +",0.838461538461538
"+ NYC SAC +",0.97719298245614
"+ NYC BAL +",0.882775119617225
"+ NYC MIN +",0.91578947368421
"+ NYC SAN +",0.963562753036437
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.912820512820513
"+ BAL MIN +",0.872727272727273
"+ BAL SAN +",0.881118881118881
"+ MIN SAN +",0.907692307692308
