"","result.all"
"DEN versus all",0.91602787456446
"NYC versus all",0.941372418387742
"SAC versus all",0.964705882352941
"BAL versus all",0.879073756432247
"MIN versus all",0.945535714285714
"SAN versus all",0.891272189349112
"+ DEN NYC +",0.992481203007519
"+ DEN SAC +",0.961904761904762
"+ DEN BAL +",0.88051948051948
"+ DEN MIN +",1
"+ DEN SAN +",0.815384615384615
"+ NYC SAC +",1
"+ NYC BAL +",0.916267942583732
"+ NYC MIN +",0.942105263157895
"+ NYC SAN +",0.979757085020243
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.892307692307692
"+ BAL MIN +",1
"+ BAL SAN +",0.881118881118881
"+ MIN SAN +",0.923076923076923
