"","result.all"
"DEN versus all",0.907317073170732
"NYC versus all",0.938707528314457
"SAC versus all",0.908496732026144
"BAL versus all",0.877358490566038
"MIN versus all",0.903571428571429
"SAN versus all",0.853550295857988
"+ DEN NYC +",0.993233082706767
"+ DEN SAC +",0.984761904761905
"+ DEN BAL +",0.885714285714286
"+ DEN MIN +",1
"+ DEN SAN +",0.837362637362637
"+ NYC SAC +",0.980701754385965
"+ NYC BAL +",0.873205741626794
"+ NYC MIN +",0.952631578947368
"+ NYC SAN +",0.961538461538462
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.897435897435897
"+ BAL MIN +",1
"+ BAL SAN +",0.888111888111888
"+ MIN SAN +",0.861538461538462
