"","result.all"
"DEN versus all",0.873170731707317
"NYC versus all",0.920386409060626
"SAC versus all",0.5
"BAL versus all",0.864065180102916
"MIN versus all",0.910714285714286
"SAN versus all",0.864644970414201
"+ DEN NYC +",0.971428571428571
"+ DEN SAC +",0.965714285714286
"+ DEN BAL +",0.898701298701299
"+ DEN MIN +",0.988571428571429
"+ DEN SAN +",0.826373626373626
"+ NYC SAC +",1
"+ NYC BAL +",0.901913875598086
"+ NYC MIN +",0.947368421052632
"+ NYC SAN +",0.975708502024291
"+ SAC BAL +",1
"+ SAC MIN +",0.986666666666667
"+ SAC SAN +",0.917948717948718
"+ BAL MIN +",1
"+ BAL SAN +",0.86013986013986
"+ MIN SAN +",0.815384615384615
