"","result.all"
"DEN versus all",0.897212543554007
"NYC versus all",0.943037974683544
"SAC versus all",0.954248366013072
"BAL versus all",0.879073756432247
"MIN versus all",0.951785714285714
"SAN versus all",0.875739644970414
"+ DEN NYC +",0.987218045112782
"+ DEN SAC +",0.979047619047619
"+ DEN BAL +",0.885714285714286
"+ DEN MIN +",1
"+ DEN SAN +",0.848351648351648
"+ NYC SAC +",1
"+ NYC BAL +",0.885167464114832
"+ NYC MIN +",0.963157894736842
"+ NYC SAN +",0.969635627530364
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.923076923076923
"+ BAL MIN +",1
"+ BAL SAN +",0.888111888111888
"+ MIN SAN +",0.846153846153846
