"","result.all"
"DEN versus all",0.952961672473868
"NYC versus all",0.955363091272485
"SAC versus all",0.931372549019608
"BAL versus all",0.828473413379074
"MIN versus all",0.975
"SAN versus all",0.841715976331361
"+ DEN NYC +",0.993233082706767
"+ DEN SAC +",0.980952380952381
"+ DEN BAL +",0.825974025974026
"+ DEN MIN +",0.994285714285714
"+ DEN SAN +",0.83956043956044
"+ NYC SAC +",1
"+ NYC BAL +",0.904306220095694
"+ NYC MIN +",0.952631578947368
"+ NYC SAN +",0.973684210526316
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.923076923076923
"+ BAL MIN +",0.981818181818182
"+ BAL SAN +",0.853146853146853
"+ MIN SAN +",0.923076923076923
