"","result.all"
"DEN versus all",0.926890756302521
"NYC versus all",0.961160904822877
"SAC versus all",0.625793650793651
"BAL versus all",0.955555555555556
"MIN versus all",0.96969696969697
"SAN versus all",0.897076023391813
"+ DEN NYC +",0.993761140819964
"+ DEN SAC +",0.976890756302521
"+ DEN BAL +",0.970588235294118
"+ DEN MIN +",1
"+ DEN SAN +",0.754901960784314
"+ NYC SAC +",1
"+ NYC BAL +",0.962962962962963
"+ NYC MIN +",0.981818181818182
"+ NYC SAN +",0.993265993265993
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",1
"+ BAL MIN +",1
"+ BAL SAN +",1
"+ MIN SAN +",0.866666666666667
