"","result.all"
"DEN versus all",0.946218487394958
"NYC versus all",0.960307298335467
"SAC versus all",0.613492063492064
"BAL versus all",0.953216374269006
"MIN versus all",0.95959595959596
"SAN versus all",0.878362573099415
"+ DEN NYC +",0.993761140819964
"+ DEN SAC +",0.974789915966387
"+ DEN BAL +",0.931372549019608
"+ DEN MIN +",0.994117647058824
"+ DEN SAN +",0.758169934640523
"+ NYC SAC +",0.976190476190476
"+ NYC BAL +",0.96969696969697
"+ NYC MIN +",0.981818181818182
"+ NYC SAN +",0.952861952861953
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.968253968253968
"+ BAL MIN +",1
"+ BAL SAN +",0.975308641975309
"+ MIN SAN +",0.844444444444444
