"","result.all"
"DEN versus all",0.906302521008403
"NYC versus all",0.945369184805805
"SAC versus all",0.535714285714286
"BAL versus all",0.905263157894737
"MIN versus all",0.921212121212121
"SAN versus all",0.886549707602339
"+ DEN NYC +",0.984848484848485
"+ DEN SAC +",0.989495798319328
"+ DEN BAL +",0.862745098039216
"+ DEN MIN +",0.982352941176471
"+ DEN SAN +",0.803921568627451
"+ NYC SAC +",0.939393939393939
"+ NYC BAL +",0.956228956228956
"+ NYC MIN +",0.981818181818182
"+ NYC SAN +",1
"+ SAC BAL +",1
"+ SAC MIN +",0.971428571428571
"+ SAC SAN +",1
"+ BAL MIN +",1
"+ BAL SAN +",0.987654320987654
"+ MIN SAN +",0.888888888888889
