"","result.all"
"DEN versus all",0.919747899159664
"NYC versus all",0.960307298335467
"SAC versus all",0.95952380952381
"BAL versus all",0.95672514619883
"MIN versus all",0.96969696969697
"SAN versus all",0.899415204678363
"+ DEN NYC +",0.987522281639929
"+ DEN SAC +",0.974789915966387
"+ DEN BAL +",0.843137254901961
"+ DEN MIN +",1
"+ DEN SAN +",0.76797385620915
"+ NYC SAC +",1
"+ NYC BAL +",0.946127946127946
"+ NYC MIN +",0.963636363636364
"+ NYC SAN +",1
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.992063492063492
"+ BAL MIN +",1
"+ BAL SAN +",1
"+ MIN SAN +",0.866666666666667
