"","result.all"
"DEN versus all",0.935504201680672
"NYC versus all",0.955612462654716
"SAC versus all",0.578571428571429
"BAL versus all",0.932163742690059
"MIN versus all",0.973737373737374
"SAN versus all",0.916959064327485
"+ DEN NYC +",0.992869875222816
"+ DEN SAC +",0.98109243697479
"+ DEN BAL +",0.928104575163399
"+ DEN MIN +",1
"+ DEN SAN +",0.816993464052288
"+ NYC SAC +",0.987012987012987
"+ NYC BAL +",0.936026936026936
"+ NYC MIN +",0.975757575757576
"+ NYC SAN +",0.996632996632997
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.976190476190476
"+ BAL MIN +",1
"+ BAL SAN +",0.987654320987654
"+ MIN SAN +",0.888888888888889
