"","result.all"
"DEN versus all",0.783024691358025
"NYC versus all",0.858169705469846
"SAC versus all",0.686820652173913
"BAL versus all",0.463157894736842
"MIN versus all",0.758169934640523
"SAN versus all",0.540965207631874
"+ DEN NYC +",0.839371980676328
"+ DEN SAC +",0.875
"+ DEN BAL +",0.393162393162393
"+ DEN MIN +",0.953703703703704
"+ DEN SAN +",0.734567901234568
"+ NYC SAC +",0.646739130434783
"+ NYC BAL +",0.764214046822742
"+ NYC MIN +",0.873188405797101
"+ NYC SAN +",0.867149758454106
"+ SAC BAL +",0.706730769230769
"+ SAC MIN +",0.375
"+ SAC SAN +",0.541666666666667
"+ BAL MIN +",0.884615384615385
"+ BAL SAN +",0.495726495726496
"+ MIN SAN +",0.518518518518518
