"","result.all"
"DEN versus all",0.81358024691358
"NYC versus all",0.878330995792426
"SAC versus all",0.741847826086957
"BAL versus all",0.718218623481781
"MIN versus all",0.952614379084967
"SAN versus all",0.777777777777778
"+ DEN NYC +",0.86231884057971
"+ DEN SAC +",0.826388888888889
"+ DEN BAL +",0.598290598290598
"+ DEN MIN +",1
"+ DEN SAN +",0.802469135802469
"+ NYC SAC +",0.826086956521739
"+ NYC BAL +",0.724080267558528
"+ NYC MIN +",1
"+ NYC SAN +",0.920289855072464
"+ SAC BAL +",0.6875
"+ SAC MIN +",1
"+ SAC SAN +",0.763888888888889
"+ BAL MIN +",1
"+ BAL SAN +",0.649572649572649
"+ MIN SAN +",0.611111111111111
