"","result.all"
"DEN versus all",0.765432098765432
"NYC versus all",0.874123422159888
"SAC versus all",0.672554347826087
"BAL versus all",0.724696356275304
"MIN versus all",0.800653594771242
"SAN versus all",0.764870931537598
"+ DEN NYC +",0.936594202898551
"+ DEN SAC +",0.871527777777778
"+ DEN BAL +",0.658119658119658
"+ DEN MIN +",0.990740740740741
"+ DEN SAN +",0.858024691358025
"+ NYC SAC +",0.739130434782609
"+ NYC BAL +",0.760869565217391
"+ NYC MIN +",0.923913043478261
"+ NYC SAN +",0.847826086956522
"+ SAC BAL +",0.764423076923077
"+ SAC MIN +",0.510416666666667
"+ SAC SAN +",0.6875
"+ BAL MIN +",0.961538461538462
"+ BAL SAN +",0.709401709401709
"+ MIN SAN +",0.481481481481481
