"","result.all"
"DEN versus all",0.829012345679012
"NYC versus all",0.880610098176718
"SAC versus all",0.688179347826087
"BAL versus all",0.785425101214575
"MIN versus all",0.85702614379085
"SAN versus all",0.764309764309764
"+ DEN NYC +",0.920289855072464
"+ DEN SAC +",0.815972222222222
"+ DEN BAL +",0.67948717948718
"+ DEN MIN +",0.972222222222222
"+ DEN SAN +",0.901234567901235
"+ NYC SAC +",0.71195652173913
"+ NYC BAL +",0.739130434782609
"+ NYC MIN +",0.949275362318841
"+ NYC SAN +",0.888888888888889
"+ SAC BAL +",0.730769230769231
"+ SAC MIN +",0.729166666666667
"+ SAC SAN +",0.631944444444444
"+ BAL MIN +",0.935897435897436
"+ BAL SAN +",0.615384615384615
"+ MIN SAN +",0.481481481481482
