"","result.all"
"DEN versus all",0.788888888888889
"NYC versus all",0.86851332398317
"SAC versus all",0.704483695652174
"BAL versus all",0.565991902834008
"MIN versus all",0.926470588235294
"SAN versus all",0.737373737373737
"+ DEN NYC +",0.918478260869565
"+ DEN SAC +",0.875
"+ DEN BAL +",0.58974358974359
"+ DEN MIN +",1
"+ DEN SAN +",0.925925925925926
"+ NYC SAC +",0.851902173913043
"+ NYC BAL +",0.739130434782609
"+ NYC MIN +",0.967391304347826
"+ NYC SAN +",0.760869565217391
"+ SAC BAL +",0.716346153846154
"+ SAC MIN +",0.760416666666667
"+ SAC SAN +",0.479166666666667
"+ BAL MIN +",0.987179487179487
"+ BAL SAN +",0.717948717948718
"+ MIN SAN +",0.462962962962963
